Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Sold Date
"1085 Larchwood Court, Turlock, CA",https://www.estately.com/listings/info/1085-larchwood-court-turlock-ca-95380,1085_Larchwood_Court_Turlock_CA.jpg,"$400,000",Sold House,1 photo,"Bella Daniel, Broker",3,2,"1,120","6,900",06/05/2024
"612 High Street, Turlock, CA",https://www.estately.com/listings/info/612-high-street-turlock-ca-95380,612_High_Street_Turlock_CA.jpg,"$375,000",Sold House,1 photo,Keller Williams Property Team Turlock,2,1,"1,062","7,697",05/10/2024
"240 Davis, Turlock, CA",https://www.estately.com/listings/info/240-davis-turlock-ca-95380,240_Davis_Turlock_CA.jpg,"$420,000",Sold House,21 photos,Sold House,3,2,"1,247","9,953",05/08/2024
"314 S 1st Street, Turlock, CA",https://www.estately.com/listings/info/314-s-1st-street-turlock-ca-95380,314_S_1st_Street_Turlock_CA.jpg,"$335,000",Sold House,1 photo,RE/MAX Executive,2,1,"1,229","7,022",04/26/2024
"320 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/320-angelus-street-turlock-ca-95380--1,320_Angelus_Street_Turlock_CA.jpg,"$380,000",Sold House,22 photos,Sold House,3,1,"1,066","9,147",04/26/2024
"1036 High Street, Turlock, CA",https://www.estately.com/listings/info/1036-high-street-turlock-ca-95380,1036_High_Street_Turlock_CA.jpg,"$595,000",Sold Multifamily,1 photo,PMZ Real Estate,4,2,"1,406",,03/29/2024
"835 S Minaret Avenue, Turlock, CA",https://www.estately.com/listings/info/835-s-minaret-avenue-turlock-ca-95380,835_S_Minaret_Avenue_Turlock_CA.jpg,"$449,900",Sold House,1 photo,Valley Heritage Realty,3,2,"1,416","7,039",03/29/2024
"1061 Vermont Avenue, Turlock, CA",https://www.estately.com/listings/info/1061-vermont-avenue-turlock-ca-95380,1061_Vermont_Avenue_Turlock_CA.jpg,"$375,000",Sold House,1 photo,eXp Realty of California Inc.,3,3,"1,431","2,723",03/21/2024
"543 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/543-angelus-street-turlock-ca-95380,543_Angelus_Street_Turlock_CA.jpg,"$560,000",Sold Multifamily,5 photos,Sold Multifamily,–,–,–,"10,200",03/15/2024
"441 Locust Street, Turlock, CA",https://www.estately.com/listings/info/441-locust-street-turlock-ca-95380--2,441_Locust_Street_Turlock_CA.jpg,"$419,000",Sold House,1 photo,eXp Realty of California Inc.,4,2,"1,626","7,000",03/07/2024
"1090 Teakwood Street, Turlock, CA",https://www.estately.com/listings/info/1090-teakwood-street-turlock-ca-95380,1090_Teakwood_Street_Turlock_CA.jpg,"$414,926",Sold House,1 photo,HomeSmart PV & Associates,4,2,"1,479","6,839",03/05/2024
