Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Sold Date
"1180 Boxwood Way, Turlock, CA",https://www.estately.com/listings/info/1180-boxwood-way-turlock-ca-95380,1180_Boxwood_Way_Turlock_CA.jpg,"$390,000",Sold House,1 photo,HomeSmart PV and Associates,3,2,"1,204","6,447",02/22/2024
"218 S Beech Street, Turlock, CA",https://www.estately.com/listings/info/218-s-beech-street-turlock-ca-95380--1,218_S_Beech_Street_Turlock_CA.jpg,"$299,900",Sold House,1 photo,HomeSmart PV and Associates,3,1,"1,252","5,798",02/22/2024
"457 455 South Avenue, Turlock, CA",https://www.estately.com/listings/info/457-455-south-avenue-turlock-ca-95380,457_455_South_Avenue_Turlock_CA.jpg,"$425,000",Sold Multifamily,1 photo,Smith & Co. Realty,–,–,–,"4,500",02/02/2024
"535 Blossom Drive, Turlock, CA",https://www.estately.com/listings/info/535-blossom-drive-turlock-ca-95380,535_Blossom_Drive_Turlock_CA.jpg,"$385,000",Sold House,1 photo,Keller Williams Realty,3,2,"1,215","3,825",01/12/2024
"1350 5th Street Unit 116, Turlock, CA",https://www.estately.com/listings/info/1350-5th-street-turlock-ca-95380,1350_5th_Street_Unit116_Turlock_CA.jpg,"$374,999",Sold House,1 photo,EXIT Realty Consultants,3,2,"1,246","3,999",12/14/2023
"734 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/734-angelus-street-turlock-ca-95380--1,734_Angelus_Street_Turlock_CA.jpg,"$665,000",Sold Multifamily,1 photo,Sold Multifamily,–,–,–,,10/16/2023
"1265 Milhous Street, Turlock, CA",https://www.estately.com/listings/info/1265-milhous-street-turlock-ca-95380--2,1265_Milhous_Street_Turlock_CA.jpg,"$438,000",Sold House,20 photos,Sold House,4,2,"1,540","6,600",07/20/2023
"355 E Linwood Avenue, Turlock, CA",https://www.estately.com/listings/info/355-e-linwood-avenue-turlock-ca-95380--2,355_E_Linwood_Avenue_Turlock_CA.jpg,"$400,000",Sold House,34 photos,Sold House,3,2,"1,166","6,200",05/08/2023
"1710 Willow Lane, Turlock, CA",https://www.estately.com/listings/info/1710-willow-lane-turlock-ca-95380,1710_Willow_Lane_Turlock_CA.jpg,"$345,000",Sold House,26 photos,Sold House,3,2,"1,005","6,550",12/02/2022
"354 West F, Turlock, CA",https://www.estately.com/listings/info/354-w-f-turlock-ca-95380,354_West_F_Turlock_CA.jpg,"$400,000",Sold House,1 photo,Sold House,4,2,"1,333","4,687",11/28/2022
"1800 Pepperridge Dr, Turlock, CA",https://www.estately.com/listings/info/1800-pepperridge-dr-turlock-ca-95380--1,1800_Pepperridge_Dr_Turlock_CA.jpg,"$350,000",Sold House,21 photos,Sold House,3,2,"1,196","5,662",11/10/2022
"387 Lane Street, Turlock, CA",https://www.estately.com/listings/info/387-lane-street-turlock-ca-95380--1,387_Lane_Street_Turlock_CA.jpg,"$325,000",Sold House,48 photos,Sold House,2,1,936,"9,940",10/07/2022
"513 Harvest Park Drive, Turlock, CA",https://www.estately.com/listings/info/513-harvest-park-drive-turlock-ca-95380,513_Harvest_Park_Drive_Turlock_CA.jpg,"$350,000",Sold House,25 photos,Sold House,3,2,"1,033","6,585",08/31/2022
"556 Vermont Ave, Turlock, CA",https://www.estately.com/listings/info/556-vermont-ave-turlock-ca-95380,556_Vermont_Ave_Turlock_CA.jpg,"$2,250,000",Sold Multifamily,11 photos,Sold Multifamily,–,–,–,,08/23/2022
"1461 Apple Lane, Turlock, CA",https://www.estately.com/listings/info/1461-apple-lane-turlock-ca-95380--1,1461_Apple_Lane_Turlock_CA.jpg,"$430,000",Sold House,49 photos,Sold House,3,2,"1,548","5,040",06/29/2022
"364 South Avenue, Turlock, CA",https://www.estately.com/listings/info/364-south-avenue-turlock-ca-95380--1,364_South_Avenue_Turlock_CA.jpg,"$602,500",Sold Multifamily,12 photos,Sold Multifamily,–,–,–,"9,000",06/24/2022
"683 Vermont Avenue, Turlock, CA",https://www.estately.com/listings/info/683-vermont-avenue--2,683_Vermont_Avenue_Turlock_CA.jpg,"$850,000",Sold Multifamily,17 photos,Sold Multifamily,–,–,–,,06/14/2022
"250 Davis Street, Turlock, CA",https://www.estately.com/listings/info/250-davis-street--3,250_Davis_Street_Turlock_CA.jpg,"$275,000",Sold House,1 photo,Sold House,2,1.5,972,"10,263",05/26/2022
"900 Bethany Avenue, Turlock, CA",https://www.estately.com/listings/info/900-bethany-avenue-turlock-ca-95380--1,900_Bethany_Avenue_Turlock_CA.jpg,"$310,500",Sold House,20 photos,Sold House,3,1,"1,046","8,591",05/18/2022
"254 Bernell Avenue, Turlock, CA",https://www.estately.com/listings/info/254-bernell-avenue--1,254_Bernell_Avenue_Turlock_CA.jpg,"$324,000",Sold House,34 photos,Sold House,2,1,765,"6,000",05/03/2022
"971 S Minaret Avenue, Turlock, CA",https://www.estately.com/listings/info/971-s-minaret-avenue--2,971_S_Minaret_Avenue_Turlock_CA.jpg,"$390,000",Sold House,38 photos,Sold House,3,2,"1,258","7,680",03/04/2022
"340 Ironwood Drive, Turlock, CA",https://www.estately.com/listings/info/340-ironwood-drive--1,340_Ironwood_Drive_Turlock_CA.jpg,"$385,000",Sold House,40 photos,Sold House,3,2,"1,270","6,510",02/16/2022
"653 South AVE, TURLOCK, CA",https://www.estately.com/listings/info/653-south-ave--2,653_South_AVE_TURLOCK_CA.jpg,"$380,000",Sold Multifamily,1 photo,,5,–,"2,196","12,000",12/27/2021
"213 S Orange Street Unit 1/2, Turlock, CA",https://www.estately.com/listings/info/213-s-orange-street--2,213_S_Orange_Street_Unit12_Turlock_CA.jpg,"$268,000",Sold House,17 photos,Sold House,2,1,772,"4,250",12/10/2021
"1140 9th Street, Turlock, CA",https://www.estately.com/listings/info/1140-9th-street--13,1140_9th_Street_Turlock_CA.jpg,"$315,000",Sold House,1 photo,Sold House,3,2,"1,166","7,841",12/06/2021
"240 Flowerglen Ave, Turlock, CA",https://www.estately.com/listings/info/240-flowerglen-ave--1,240_Flowerglen_Ave_Turlock_CA.jpg,"$420,000",Sold House,1 photo,Sold House,3,2,"1,322","4,902",11/02/2021
"335 Farr Street, Turlock, CA",https://www.estately.com/listings/info/335-farr-street--1,335_Farr_Street_Turlock_CA.jpg,"$352,000",Sold House,43 photos,Sold House,3,1,"1,044","6,900",10/07/2021
"333 Lukas Street, Turlock, CA",https://www.estately.com/listings/info/333-lukas-street--1,333_Lukas_Street_Turlock_CA.jpg,"$365,000",Sold House,4 photos,Sold House,4,2,"1,333","4,163",07/30/2021
"565 Sunnyside Dr, Turlock, CA",https://www.estately.com/listings/info/565-sunnyside-dr-turlock-ca-95380,565_Sunnyside_Dr_Turlock_CA.jpg,"$436,000",Sold House,14 photos,Sold House,5,4,"1,658","6,391",06/04/2021
"591 Birchwood Way, Turlock, CA",https://www.estately.com/listings/info/591-birchwood-way--3,591_Birchwood_Way_Turlock_CA.jpg,"$287,000",Sold House,1 photo,Sold House,3,2,"1,028","6,758",02/26/2021
"1660 Baywood Lane, Turlock, CA",https://www.estately.com/listings/info/1660-baywood-lane,1660_Baywood_Lane_Turlock_CA.jpg,"$285,000",Sold House,6 photos,Sold House,3,2,"1,052","6,200",09/30/2020
"694 9th Street, Turlock, CA",https://www.estately.com/listings/info/694-9th-street--4,694_9th_Street_Turlock_CA.jpg,"$122,000",Sold House,14 photos,Sold House,1,1,402,"4,185",07/21/2020
"1083 Ryker Ct, Turlock, CA",https://www.estately.com/listings/info/1083-ryker-ct-turlock-ca-95380,1083_Ryker_Ct_Turlock_CA.jpg,"$277,500",Sold House,9 photos,Sold House,3,2,"1,258","7,000",01/24/2020
"1124 Mae Street, Turlock, CA",https://www.estately.com/listings/info/1124-mae-street--1,1124_Mae_Street_Turlock_CA.jpg,"$329,000",Sold House,47 photos,Sold House,5,2,"1,932",,12/31/2019
"346 Silva St, Turlock, CA",https://www.estately.com/listings/info/346-silva-st--5,346_Silva_St_Turlock_CA.jpg,"$289,000",Sold House,1 photo,Sold House,4,2,"1,609","4,549",08/07/2019
"1861 English Avenue, Turlock, CA",https://www.estately.com/listings/info/1861-english-avenue--1,1861_English_Avenue_Turlock_CA.jpg,"$269,950",Sold House,14 photos,Sold House,3,2,"1,200","6,000",07/23/2019
"340 West Avenue, Turlock, CA",https://www.estately.com/listings/info/340-west-avenue--2,340_West_Avenue_Turlock_CA.jpg,"$212,000",Sold House,15 photos,Sold House,3,1,"1,060","6,875",04/11/2019
"1746 Elmcrest Court, Turlock, CA",https://www.estately.com/listings/info/1746-elmcrest-court,1746_Elmcrest_Court_Turlock_CA.jpg,"$270,000",Sold House,28 photos,Sold House,3,2,"1,196","6,683",10/30/2018
"1762 Willert Drive, Turlock, CA",https://www.estately.com/listings/info/1762-willert-drive--2,1762_Willert_Drive_Turlock_CA.jpg,"$254,900",Sold House,19 photos,Sold House,3,2,"1,125","6,300",10/25/2018
"115 Angelus St, Turlock, CA",https://www.estately.com/listings/info/115-angelus-st--3,115_Angelus_St_Turlock_CA.jpg,"$175,000",Sold House,1 photo,Sold House,3,2,"1,376","7,125",10/10/2018
"927 Katelyn St, Turlock, CA",https://www.estately.com/listings/info/927-katelyn-st-turlock-ca-95380,927_Katelyn_St_Turlock_CA.jpg,"$307,000",Sold House,19 photos,Sold House,4,2,"1,609","4,292",09/07/2018
"1730 English Avenue, Turlock, CA",https://www.estately.com/listings/info/1730-english-avenue--1,1730_English_Avenue_Turlock_CA.jpg,"$240,000",Sold House,6 photos,Sold House,3,2,"1,200","6,400",03/01/2018
"220 Ironwood Drive, Turlock, CA",https://www.estately.com/listings/info/220-ironwood-drive,220_Ironwood_Drive_Turlock_CA.jpg,"$240,000",Sold House,26 photos,Sold House,3,2,"1,166","6,510",02/07/2018
"1120 Amberwood Lane, Turlock, CA",https://www.estately.com/listings/info/1120-amberwood-lane,1120_Amberwood_Lane_Turlock_CA.jpg,"$225,000",Sold House,1 photo,Sold House,3,2,"1,503","6,324",11/08/2017
"525 South Avenue, Turlock, CA",https://www.estately.com/listings/info/525-south-avenue--5,525_South_Avenue_Turlock_CA.jpg,"$425,000",Sold Multifamily,7 photos,Sold Multifamily,–,–,–,"10,542",11/01/2017
"824 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/824-angelus-street--1,824_Angelus_Street_Turlock_CA.jpg,"$73,500",Sold Land,4 photos,Sold Land,–,–,–,,09/28/2017
"1120 Picard Ct, Turlock, CA",https://www.estately.com/listings/info/1120-picard-ct--1,1120_Picard_Ct_Turlock_CA.jpg,"$240,000",Sold House,1 photo,Sold House,3,2,"1,156","6,273",03/22/2017
"426 Locust Street, Turlock, CA",https://www.estately.com/listings/info/426-locust-street--9,426_Locust_Street_Turlock_CA.jpg,"$170,000",Sold Multifamily,16 photos,Sold Multifamily,–,–,–,"7,000",11/30/2016
"1083 South Avenue, Turlock, CA",https://www.estately.com/listings/info/1083-south-avenue--1,1083_South_Avenue_Turlock_CA.jpg,"$415,000",Sold Multifamily,6 photos,Sold Multifamily,–,–,–,"12,630",11/29/2016
"942 Lacy Way, Turlock, CA",https://www.estately.com/listings/info/942-lacy-way--1,942_Lacy_Way_Turlock_CA.jpg,"$226,000",Sold House,1 photo,Sold House,3,2,"1,349","7,013",11/04/2016
"514 S Soderquist Road, Turlock, CA",https://www.estately.com/listings/info/514-s-soderquist-road,514_S_Soderquist_Road_Turlock_CA.jpg,"$198,000",Sold House,1 photo,Sold House,3,2,"1,532","8,800",10/06/2016
"120 W F Street, Turlock, CA",https://www.estately.com/listings/info/120-west-f-street--1,120_W_F_Street_Turlock_CA.jpg,"$45,000",Sold House,1 photo,Sold House,3,1,"1,936","10,562",09/30/2016
"901 S Rose Street, Turlock, CA",https://www.estately.com/listings/info/901-south-rose-street--1,901_S_Rose_Street_Turlock_CA.jpg,"$195,000",Sold House,1 photo,Sold House,3,1,935,"8,738",09/15/2016
"418 N Broadway, Turlock, CA",https://www.estately.com/listings/info/418-broadway--11,418_N_Broadway_Turlock_CA.jpg,"$295,000",Sold Multifamily,No photo,Sold Multifamily,–,–,–,"7,893",09/09/2016
"520 E Linwood Avenue, Turlock, CA",https://www.estately.com/listings/info/520-e-linwood-avenue--2,520_E_Linwood_Avenue_Turlock_CA.jpg,"$180,000",Sold House,1 photo,Sold House,2,2,"1,033","3,995",07/29/2016
"1655 Willow Lane, Turlock, CA",https://www.estately.com/listings/info/1655-willow-lane,1655_Willow_Lane_Turlock_CA.jpg,"$170,000",Sold House,1 photo,Sold House,3,2,"1,215","3,485",02/05/2015
"191 Eagleglen Avenue, Turlock, CA",https://www.estately.com/listings/info/191-eagleglen-avenue--1,191_Eagleglen_Avenue_Turlock_CA.jpg,"$220,000",Sold House,1 photo,Sold House,3,2,"1,512","4,738",11/06/2014
"289 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/289-angelus-street--1,289_Angelus_Street_Turlock_CA.jpg,"$69,900",Sold House,1 photo,Sold House,3,2,"1,338","6,970",07/18/2014
"1067 Alexander Court, Turlock, CA",https://www.estately.com/listings/info/1067-alexander-court--1,1067_Alexander_Court_Turlock_CA.jpg,"$155,000",Sold House,1 photo,Sold House,3,2,"1,085","8,990",10/11/2013
"205 Rosewood Drive, Turlock, CA",https://www.estately.com/listings/info/205-rosewood-drive--5,205_Rosewood_Drive_Turlock_CA.jpg,"$113,565",Sold House,1 photo,Sold House,2,1,"1,204","6,510",05/03/2013
"311 Eagleglen Avenue, Turlock, CA",https://www.estately.com/listings/info/311-eagleglen-avenue--1,311_Eagleglen_Avenue_Turlock_CA.jpg,"$165,000",Sold House,1 photo,Sold House,3,2,"1,512","4,750",04/19/2013
"1065 Larchwood Court, Turlock, CA",https://www.estately.com/listings/info/1065-larchwood-court--1,1065_Larchwood_Court_Turlock_CA.jpg,"$126,000",Sold House,1 photo,Sold House,3,2,"1,326","10,410",01/25/2013
"1660 Willow Lane, Turlock, CA",https://www.estately.com/listings/info/1660-willow-lane--3,1660_Willow_Lane_Turlock_CA.jpg,"$90,000",Sold House,1 photo,Sold House,2,2,"1,033","3,485",04/10/2009
"208 F St, Turlock, CA",https://www.estately.com/listings/info/208-f-st--5,208_F_St_Turlock_CA.jpg,"$35,000",Sold House,No photo,Sold House,3,1,968,,11/08/2008
"1181 S Orange St, Turlock, CA",https://www.estately.com/listings/info/1181-s-orange-st--2,1181_S_Orange_St_Turlock_CA.jpg,"$185,000",Sold House,1 photo,Sold House,3,1,"1,480",,02/22/2008
"290 Flowerglen Avenue, Turlock, CA",https://www.estately.com/listings/info/290-flowerglen-avenue,290_Flowerglen_Avenue_Turlock_CA.jpg,"$295,000",Sold House,1 photo,Sold House,3,2,"1,322","4,661",04/30/2007
"1301 Gabriel Street, Turlock, CA",https://www.estately.com/listings/info/1301-gabriel-street,1301_Gabriel_Street_Turlock_CA.jpg,"$305,000",Sold Townhouse,1 photo,Sold Townhouse,3,2,"1,230","6,500",03/06/2007
"1810 English Avenue, Turlock, CA",https://www.estately.com/listings/info/1810-english-avenue,1810_English_Avenue_Turlock_CA.jpg,"$295,000",Sold House,1 photo,Sold House,3,2,"1,284","6,534",01/12/2007
"533 E Angelus Street, Other - See Remarks, CA",https://www.estately.com/listings/info/533-e-angelus-street,533_E_Angelus_Street_Other__See_Remarks_CA.jpg,"$475,000",Sold Multifamily,1 photo,Sold Multifamily,8,–,–,,05/31/2006
"1201 Butte, Turlock, CA",https://www.estately.com/listings/info/1201-butte,1201_Butte_Turlock_CA.jpg,"$299,000",Sold House,1 photo,Sold House,3,2,"1,183","6,970",04/19/2006
"1227 Pecan Way, Other - See Remarks, CA",https://www.estately.com/listings/info/1227-pecan-way--1,1227_Pecan_Way_Other__See_Remarks_CA.jpg,"$325,000",Sold House,1 photo,Sold House,3,2,"1,085","8,000",02/24/2006
"1017 South Avenue, Turlock, CA",https://www.estately.com/listings/info/1017-south-avenue,1017_South_Avenue_Turlock_CA.jpg,"$230,000",Sold House,No photo,Sold House,2,1,604,"9,000",12/07/2005
"1135 Baywood Lane, Turlock, CA",https://www.estately.com/listings/info/1135-baywood-lane--1,1135_Baywood_Lane_Turlock_CA.jpg,"$350,000",Sold House,1 photo,Sold House,3,2,"1,504","9,500",12/01/2005
"611 West Ave. S, Other - See Remarks, CA",https://www.estately.com/listings/info/611-west-ave-s,611_West_Ave_S_Other__See_Remarks_CA.jpg,"$500,000",Sold House,1 photo,Sold House,3,2,"1,244",,09/21/2005
"518 Rockwood, Turlock, CA",https://www.estately.com/listings/info/518-rockwood--1,518_Rockwood_Turlock_CA.jpg,"$300,000",Sold House,No photo,Sold House,3,2,"1,028","6,758",09/08/2005
"764 Rose, Turlock, CA",https://www.estately.com/listings/info/764-rose,764_Rose_Turlock_CA.jpg,"$255,000",Sold House,No photo,Sold House,2,1,908,"7,680",06/28/2005
"440 Lewis, Turlock, CA",https://www.estately.com/listings/info/440-lewis,440_Lewis_Turlock_CA.jpg,"$320,000",Sold House,1 photo,Sold House,3,2,"1,541","6,000",06/23/2005
"210 Montana Avenue, Turlock, CA",https://www.estately.com/listings/info/210-montana-avenue,210_Montana_Avenue_Turlock_CA.jpg,"$400,000",Sold House,No photo,Sold House,2,1,"1,368",,06/07/2005
"798 Alpha, Turlock, CA",https://www.estately.com/listings/info/798-alpha,798_Alpha_Turlock_CA.jpg,"$305,000",Sold House,1 photo,Sold House,3,2,"1,950","7,475",05/03/2005
"208 S Orange Street, Turlock, CA",https://www.estately.com/listings/info/s--164,208_S_Orange_Street_Turlock_CA.jpg,"$251,000",Sold House,1 photo,Sold House,3,2,"1,000","7,000",04/19/2005
"341 Clark Street, Turlock, CA",https://www.estately.com/listings/info/341-clark-street,341_Clark_Street_Turlock_CA.jpg,"$267,000",Sold House,No photo,Sold House,3,2,"1,064","5,663",04/15/2005
"555 Sun Garden Court, Turlock, CA",https://www.estately.com/listings/info/555-sun-garden-court,555_Sun_Garden_Court_Turlock_CA.jpg,"$305,000",Sold House,1 photo,Sold House,3,2,"1,196",,04/06/2005
"796 S. Minaret, Turlock, CA",https://www.estately.com/listings/info/796-s-minaret--2,796_S_Minaret_Turlock_CA.jpg,"$245,000",Sold House,1 photo,Sold House,2,1,832,"6,403",04/01/2005
"910 Rose, Turlock, CA",https://www.estately.com/listings/info/910-rose,910_Rose_Turlock_CA.jpg,"$250,000",Sold House,No photo,Sold House,3,1,"1,200","8,320",04/01/2005
"713 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/713-angelus-street--2,713_Angelus_Street_Turlock_CA.jpg,"$217,000",Sold House,No photo,Sold House,2,1,686,"7,144",03/24/2005
"1081 Serr Drive, Turlock, CA",https://www.estately.com/listings/info/1081-serr-drive--1,1081_Serr_Drive_Turlock_CA.jpg,"$251,000",Sold House,1 photo,Sold House,3,2,"1,226","8,320",03/15/2005
"1922 5th Street, Turlock, CA",https://www.estately.com/listings/info/1922-5th-street--2,1922_5th_Street_Turlock_CA.jpg,"$274,000",Sold House,1 photo,Sold House,3,2,"1,156","1,156",02/16/2005
"120 Angelus Street, Other - See Remarks, CA",https://www.estately.com/listings/info/120-angelus-street--2,120_Angelus_Street_Other__See_Remarks_CA.jpg,"$199,000",Sold House,No photo,Sold House,2,1,"1,198","7,144",02/02/2005
"867 Rose, Turlock, CA",https://www.estately.com/listings/info/867-rose,867_Rose_Turlock_CA.jpg,"$245,000",Sold House,1 photo,Sold House,3,1,"1,151","6,990",12/21/2004
"740 Minaret, Turlock, CA",https://www.estately.com/listings/info/740-minaret,740_Minaret_Turlock_CA.jpg,"$226,000",Sold House,1 photo,Sold House,2,1,"1,164","6,784",12/13/2004
"241 W Linwood Ave, Other - See Remarks, CA",https://www.estately.com/listings/info/241-w-linwood-ave,241_W_Linwood_Ave_Other__See_Remarks_CA.jpg,"$395,000",Sold House,No photo,Sold House,2,1,–,"9,200",12/09/2004
"1146 Columbia, Turlock, CA",https://www.estately.com/listings/info/147-ml80457582,1146_Columbia_Turlock_CA.jpg,"$225,000",Sold House,1 photo,Sold House,3,1,"1,077",,02/11/2004
"1290 Linwood Avenue, Turlock, CA",https://www.estately.com/listings/info/147-ml80459372,1290_Linwood_Avenue_Turlock_CA.jpg,"$210,000",Sold House,No photo,Sold House,3,2,"1,156","6,100",01/27/2004
"595 Blossom Drive, Other - See Remarks, CA",https://www.estately.com/listings/info/595-blossom-drive--1,595_Blossom_Drive_Other__See_Remarks_CA.jpg,"$133,000",Sold House,No photo,Sold House,3,2,"1,195","5,000",01/15/2002
"1085 Larchwood Court, Turlock, CA",https://www.estately.com/listings/info/1085-larchwood-court-turlock-ca-95380,1085_Larchwood_Court_Turlock_CA.jpg,"$400,000",Sold House,1 photo,"Bella Daniel, Broker",3,2,"1,120","6,900",06/05/2024
"612 High Street, Turlock, CA",https://www.estately.com/listings/info/612-high-street-turlock-ca-95380,612_High_Street_Turlock_CA.jpg,"$375,000",Sold House,1 photo,Keller Williams Property Team Turlock,2,1,"1,062","7,697",05/10/2024
"240 Davis, Turlock, CA",https://www.estately.com/listings/info/240-davis-turlock-ca-95380,240_Davis_Turlock_CA.jpg,"$420,000",Sold House,21 photos,Sold House,3,2,"1,247","9,953",05/08/2024
"314 S 1st Street, Turlock, CA",https://www.estately.com/listings/info/314-s-1st-street-turlock-ca-95380,314_S_1st_Street_Turlock_CA.jpg,"$335,000",Sold House,1 photo,RE/MAX Executive,2,1,"1,229","7,022",04/26/2024
"320 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/320-angelus-street-turlock-ca-95380--1,320_Angelus_Street_Turlock_CA.jpg,"$380,000",Sold House,22 photos,Sold House,3,1,"1,066","9,147",04/26/2024
"1036 High Street, Turlock, CA",https://www.estately.com/listings/info/1036-high-street-turlock-ca-95380,1036_High_Street_Turlock_CA.jpg,"$595,000",Sold Multifamily,1 photo,PMZ Real Estate,4,2,"1,406",,03/29/2024
"835 S Minaret Avenue, Turlock, CA",https://www.estately.com/listings/info/835-s-minaret-avenue-turlock-ca-95380,835_S_Minaret_Avenue_Turlock_CA.jpg,"$449,900",Sold House,1 photo,Valley Heritage Realty,3,2,"1,416","7,039",03/29/2024
"1061 Vermont Avenue, Turlock, CA",https://www.estately.com/listings/info/1061-vermont-avenue-turlock-ca-95380,1061_Vermont_Avenue_Turlock_CA.jpg,"$375,000",Sold House,1 photo,eXp Realty of California Inc.,3,3,"1,431","2,723",03/21/2024
"543 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/543-angelus-street-turlock-ca-95380,543_Angelus_Street_Turlock_CA.jpg,"$560,000",Sold Multifamily,5 photos,Sold Multifamily,–,–,–,"10,200",03/15/2024
"441 Locust Street, Turlock, CA",https://www.estately.com/listings/info/441-locust-street-turlock-ca-95380--2,441_Locust_Street_Turlock_CA.jpg,"$419,000",Sold House,1 photo,eXp Realty of California Inc.,4,2,"1,626","7,000",03/07/2024
"1090 Teakwood Street, Turlock, CA",https://www.estately.com/listings/info/1090-teakwood-street-turlock-ca-95380,1090_Teakwood_Street_Turlock_CA.jpg,"$414,926",Sold House,1 photo,HomeSmart PV & Associates,4,2,"1,479","6,839",03/05/2024
"1180 Boxwood Way, Turlock, CA",https://www.estately.com/listings/info/1180-boxwood-way-turlock-ca-95380,1180_Boxwood_Way_Turlock_CA.jpg,"$390,000",Sold House,1 photo,HomeSmart PV and Associates,3,2,"1,204","6,447",02/22/2024
"218 S Beech Street, Turlock, CA",https://www.estately.com/listings/info/218-s-beech-street-turlock-ca-95380--1,218_S_Beech_Street_Turlock_CA.jpg,"$299,900",Sold House,1 photo,HomeSmart PV and Associates,3,1,"1,252","5,798",02/22/2024
"457 455 South Avenue, Turlock, CA",https://www.estately.com/listings/info/457-455-south-avenue-turlock-ca-95380,457_455_South_Avenue_Turlock_CA.jpg,"$425,000",Sold Multifamily,1 photo,Smith & Co. Realty,–,–,–,"4,500",02/02/2024
"535 Blossom Drive, Turlock, CA",https://www.estately.com/listings/info/535-blossom-drive-turlock-ca-95380,535_Blossom_Drive_Turlock_CA.jpg,"$385,000",Sold House,1 photo,Keller Williams Realty,3,2,"1,215","3,825",01/12/2024
"1350 5th Street Unit 116, Turlock, CA",https://www.estately.com/listings/info/1350-5th-street-turlock-ca-95380,1350_5th_Street_Unit116_Turlock_CA.jpg,"$374,999",Sold House,1 photo,EXIT Realty Consultants,3,2,"1,246","3,999",12/14/2023
"734 Angelus Street, Turlock, CA",https://www.estately.com/listings/info/734-angelus-street-turlock-ca-95380--1,734_Angelus_Street_Turlock_CA.jpg,"$665,000",Sold Multifamily,1 photo,Sold Multifamily,–,–,–,,10/16/2023
"1265 Milhous Street, Turlock, CA",https://www.estately.com/listings/info/1265-milhous-street-turlock-ca-95380--2,1265_Milhous_Street_Turlock_CA.jpg,"$438,000",Sold House,20 photos,Sold House,4,2,"1,540","6,600",07/20/2023
"355 E Linwood Avenue, Turlock, CA",https://www.estately.com/listings/info/355-e-linwood-avenue-turlock-ca-95380--2,355_E_Linwood_Avenue_Turlock_CA.jpg,"$400,000",Sold House,34 photos,Sold House,3,2,"1,166","6,200",05/08/2023
