Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Days on Site
"100 Royal Palm Way Unit 1080, Boca Raton, FL",https://www.estately.com/listings/info/100-royal-palm-way-boca-raton-fl-33432--7,100_Royal_Palm_Way_Unit1080_Boca_Raton_FL.jpg,"$270,000",Condo For Sale,12 photos,Compass Florida LLC (PB),2,1.5,941,,
"12 Royal Palm Way Unit 1030, Boca Raton, FL",https://www.estately.com/listings/info/12-royal-palm-way-boca-raton-fl-33432--3,12_Royal_Palm_Way_Unit1030_Boca_Raton_FL.jpg,"$479,000",Condo For Sale,64 photos,,2,2,"1,095",,
"3141 NE 10th Ter, Pompano Beach, FL",https://www.estately.com/listings/info/3141-ne-10th-ter-pompano-beach-fl-33064,3141_NE_10th_Ter_Pompano_Beach_FL.jpg,"$425,000",House For Sale,35 photos,,2,1,893,"6,170",
"1371 NW 13th Court, Boca Raton, FL",https://www.estately.com/listings/info/1371-nw-13th-court-boca-raton-fl-33486,1371_NW_13th_Court_Boca_Raton_FL.jpg,"$1,190,000",House For Sale,49 photos,FloridaHomesBocaRaton.com,5,3.5,"3,026",,
"401 N Riverside Drive Unit 207, Pompano Beach, FL",https://www.estately.com/listings/info/401-n-riverside-drive-pompano-beach-fl-33062--1,401_N_Riverside_Drive_Unit207_Pompano_Beach_FL.jpg,"$285,000",Condo For Sale,30 photos,Douglas Elliman,1,1,850,,
"2050 NE 39th St Unit W212, Lighthouse Point, FL",https://www.estately.com/listings/info/2050-ne-39th-st-lighthouse-point-fl-33064--20,2050_NE_39th_St_UnitW212_Lighthouse_Point_FL.jpg,"$155,000",Condo For Sale,13 photos,,1,2,676,,
"1817 NE 2nd St, Pompano Beach, FL",https://www.estately.com/listings/info/1817-ne-2nd-st-pompano-beach-fl-33060,1817_NE_2nd_St_Pompano_Beach_FL.jpg,"$495,000",House For Sale,36 photos,,2,2,"1,196","8,250",
"401 N Riverside Drive Unit 102, Pompano Beach, FL",https://www.estately.com/listings/info/401-n-riverside-drive-pompano-beach-fl-33062,401_N_Riverside_Drive_Unit102_Pompano_Beach_FL.jpg,"$310,000",Condo For Sale,26 photos,Douglas Elliman,1,1,850,,
"2667 N Ocean Boulevard Unit I-507, Boca Raton, FL",https://www.estately.com/listings/info/2667-n-ocean-boulevard-boca-raton-fl-33431--7,2667_N_Ocean_Boulevard_UnitI507_Boca_Raton_FL.jpg,"$879,000",Condo For Sale,70 photos,Keller Williams Realty Services,2,2,"1,340",,
"2753 NE 28th St Unit 8E, Lighthouse Point, FL",https://www.estately.com/listings/info/2753-ne-28th-st-lighthouse-point-fl-33064--2,2753_NE_28th_St_Unit8E_Lighthouse_Point_FL.jpg,"$189,000",Condo For Sale,31 photos,,1,1,678,,
"405 N Ocean Blvd Unit 424, Pompano Beach, FL",https://www.estately.com/listings/info/405-n-ocean-blvd-pompano-beach-fl-33062--43,405_N_Ocean_Blvd_Unit424_Pompano_Beach_FL.jpg,"$374,000",Condo For Sale,38 photos,,1,2,890,,
"1561 SW 16th St, Boca Raton, FL",https://www.estately.com/listings/info/1561-sw-16th-st-boca-raton-fl-33486,1561_SW_16th_St_Boca_Raton_FL.jpg,"$1,289,000",House For Sale,53 photos,,4,2.5,"2,870","10,000",
"3861 NE 13th Ter, Pompano Beach, FL",https://www.estately.com/listings/info/3861-ne-13th-ter-pompano-beach-fl-33064--1,3861_NE_13th_Ter_Pompano_Beach_FL.jpg,"$831,600",House For Sale,31 photos,,3,2,"2,880","5,351",
"3212 NE 12th St Unit 203, Pompano Beach, FL",https://www.estately.com/listings/info/3212-ne-12th-st-pompano-beach-fl-33062--5,3212_NE_12th_St_Unit203_Pompano_Beach_FL.jpg,"$290,000",Condo For Sale,16 photos,,1,1,740,,
"300 NE 20th Street Unit 6040, Boca Raton, FL",https://www.estately.com/listings/info/300-ne-20th-street-boca-raton-fl-33431--10,300_NE_20th_Street_Unit6040_Boca_Raton_FL.jpg,"$130,000",Condo For Sale,37 photos,The Corcoran Group,1,1,727,,
"2620 SE 5th St, Pompano Beach, FL",https://www.estately.com/listings/info/2620-se-5th-st-pompano-beach-fl-33062--1,2620_SE_5th_St_Pompano_Beach_FL.jpg,"$930,000",House For Sale,65 photos,,3,2,"1,588","7,525",
"99 SE Mizner Boulevard Unit 233, Boca Raton, FL",https://www.estately.com/listings/info/99-se-mizner-boulevard-boca-raton-fl-33432--27,99_SE_Mizner_Boulevard_Unit233_Boca_Raton_FL.jpg,"$799,000",Condo For Sale,33 photos,United Realty Group Inc,2,2,"1,310",,
"400 SE 5th Avenue Unit 605n, Boca Raton, FL",https://www.estately.com/listings/info/400-se-5th-avenue-boca-raton-fl-33432,400_SE_5th_Avenue_Unit605n_Boca_Raton_FL.jpg,"$5,295,000",Condo For Sale,54 photos,Charles Rutenberg Realty FTL,3,4.5,"4,168",,
"2217 NE 24th St, Lighthouse Point, FL",https://www.estately.com/listings/info/2217-ne-24th-st-lighthouse-point-fl-33064--1,2217_NE_24th_St_Lighthouse_Point_FL.jpg,"$3,795,000",House For Sale,43 photos,,6,4.5,"5,075",,
"1780 SW 12th St, Boca Raton, FL",https://www.estately.com/listings/info/1780-sw-12th-st-boca-raton-fl-33486,1780_SW_12th_St_Boca_Raton_FL.jpg,"$699,000",House For Sale,60 photos,,3,2,"1,834","10,800",
"3231 NE 15th St, Pompano Beach, FL",https://www.estately.com/listings/info/3231-ne-15th-st-pompano-beach-fl-33062--3,3231_NE_15th_St_Pompano_Beach_FL.jpg,"$2,050,000",House For Sale,97 photos,,5,6,"4,358","7,000",
"700 SW 4th Street, Boca Raton, FL",https://www.estately.com/listings/info/700-sw-4th-street-boca-raton-fl-33486--1,700_SW_4th_Street_Boca_Raton_FL.jpg,"$1,050,000",House For Sale,26 photos,Coldwell Banker,3,2,"2,155",,
"1116 N Ocean Blvd Unit 901, Pompano Beach, FL",https://www.estately.com/listings/info/1116-n-ocean-blvd-pompano-beach-fl-33062--24,1116_N_Ocean_Blvd_Unit901_Pompano_Beach_FL.jpg,"$3,180,000",Condo For Sale,58 photos,,3,4,"2,428",,
"1185 SW Sw 5th Avenue Avenue, Boca Raton, FL",https://www.estately.com/listings/info/1185-sw-sw-5th-avenue-avenue-boca-raton-fl-33432,1185_SW_Sw_5th_Avenue_Avenue_Boca_Raton_FL.jpg,"$1,850,000",House For Sale,6 photos,CGI Realty,2,2,"2,060",,
"317 SE 7th Ave, Deerfield Beach, FL",https://www.estately.com/listings/info/317-se-7th-ave-deerfield-beach-fl-33441,317_SE_7th_Ave_Deerfield_Beach_FL.jpg,"$825,000",House For Sale,56 photos,,4,2,"1,194","8,100",
"1165 NE 2nd Terrace, Boca Raton, FL",https://www.estately.com/listings/info/1165-ne-2nd-terrace-boca-raton-fl-33432--1,1165_NE_2nd_Terrace_Boca_Raton_FL.jpg,"$2,100,000",House For Sale,71 photos,Compass Florida LLC,3,3,"1,748",,
"531 N Ocean Boulevard Unit 1001, Pompano Beach, FL",https://www.estately.com/listings/info/531-n-ocean-boulevard-pompano-beach-fl-33062--6,531_N_Ocean_Boulevard_Unit1001_Pompano_Beach_FL.jpg,"$424,900",Condo For Sale,22 photos,Realty Home Advisors Inc,2,2,"1,115",,
"2449 NE 20th Ter, Lighthouse Point, FL",https://www.estately.com/listings/info/2449-ne-20th-ter-lighthouse-point-fl-33064,2449_NE_20th_Ter_Lighthouse_Point_FL.jpg,"$1,149,000",House For Sale,28 photos,,3,2,"1,891","10,802",
"4160 NE 11th Terrace, Pompano Beach, FL",https://www.estately.com/listings/info/4160-ne-11th-terrace-pompano-beach-fl-33064,4160_NE_11th_Terrace_Pompano_Beach_FL.jpg,"$649,999",House For Sale,26 photos,,4,3,"1,747","8,281",
"2900 NE 14th Street Cswy Unit 615, Pompano Beach, FL",https://www.estately.com/listings/info/2900-ne-14th-street-cswy-pompano-beach-fl-33062--28,2900_NE_14th_Street_Cswy_Unit615_Pompano_Beach_FL.jpg,"$585,000",Condo For Sale,16 photos,,2,2,"1,400",,
"298 W Key Palm Rd, Boca Raton, FL",https://www.estately.com/listings/info/298-w-key-palm-rd-boca-raton-fl-33432,298_W_Key_Palm_Rd_Boca_Raton_FL.jpg,"$26,975,000",House For Sale,59 photos,,6,10,"11,468",,
"3125 NE 48th Court Unit 223, Lighthouse Point, FL",https://www.estately.com/listings/info/3125-ne-48th-court-lighthouse-point-fl-33064--1,3125_NE_48th_Court_Unit223_Lighthouse_Point_FL.jpg,"$409,900",Condo For Sale,16 photos,"United Realty Group, Inc",2,2,"1,056",,
"701 NW 8th Avenue, Boca Raton, FL",https://www.estately.com/listings/info/701-nw-8th-avenue-boca-raton-fl-33486,701_NW_8th_Avenue_Boca_Raton_FL.jpg,"$1,550,000",House For Sale,50 photos,Lux Properties,3,2,"1,686",,
"111 Briny Ave Unit PH11, Pompano Beach, FL",https://www.estately.com/listings/info/111-briny-ave-pompano-beach-fl-33062--45,111_Briny_Ave_UnitPH11_Pompano_Beach_FL.jpg,"$825,000",Condo For Sale,46 photos,,2,2,"1,030",,
"1431 NE 43rd St, Pompano Beach, FL",https://www.estately.com/listings/info/1431-ne-43rd-st-pompano-beach-fl-33064,1431_NE_43rd_St_Pompano_Beach_FL.jpg,"$429,000",House For Sale,29 photos,,3,1,"1,000","8,009",
"1549 SW 8th St, Boca Raton, FL",https://www.estately.com/listings/info/1549-sw-8th-st-boca-raton-fl-33486,1549_SW_8th_St_Boca_Raton_FL.jpg,"$1,100,000",House For Sale,82 photos,,4,2,"1,874","10,451",
"367 S Federal Hwy Unit A208, Deerfield Beach, FL",https://www.estately.com/listings/info/367-s-federal-hwy-deerfield-beach-fl-33441--14,367_S_Federal_Hwy_UnitA208_Deerfield_Beach_FL.jpg,"$238,800",Condo For Sale,28 photos,,2,2,984,,
"1432 NE 28th St, Pompano Beach, FL",https://www.estately.com/listings/info/1432-ne-28th-st-pompano-beach-fl-33064,1432_NE_28th_St_Pompano_Beach_FL.jpg,"$409,900",House For Sale,12 photos,,3,2,824,"5,525",
"2650 NE 19th St, Pompano Beach, FL",https://www.estately.com/listings/info/2650-ne-19th-st-pompano-beach-fl-33062,2650_NE_19th_St_Pompano_Beach_FL.jpg,"$725,000",House For Sale,74 photos,,3,2,"1,800","7,500",
"2900 NE 14th St Causeway Unit 206, Pompano Beach, FL",https://www.estately.com/listings/info/2900-ne-14th-st-causeway-pompano-beach-fl-33062--3,2900_NE_14th_St_Causeway_Unit206_Pompano_Beach_FL.jpg,"$499,000",Condo For Sale,29 photos,Keller Williams Realty Services,2,2,"1,400",,
"14 Royal Palm Way Unit 6050, Boca Raton, FL",https://www.estately.com/listings/info/14-royal-palm-way-boca-raton-fl-33432--8,14_Royal_Palm_Way_Unit6050_Boca_Raton_FL.jpg,"$365,000",Condo For Sale,18 photos,"Give 5 Realty, LLC",2,2,"1,095",,
"1962 NE 6th Street Unit 4a, Deerfield Beach, FL",https://www.estately.com/listings/info/1962-ne-6th-street-deerfield-beach-fl-33441--1,1962_NE_6th_Street_Unit4a_Deerfield_Beach_FL.jpg,"$400,000",Condo For Sale,22 photos,Keller Williams Realty Services,2,2,"1,160",,
"1043 Hillsboro Mile Unit 18c, Hillsboro Beach, FL",https://www.estately.com/listings/info/1043-hillsboro-mile-hillsboro-beach-fl-33062--6,1043_Hillsboro_Mile_Unit18c_Hillsboro_Beach_FL.jpg,"$349,900",Condo For Sale,17 photos,Rahman Realty,1,1,850,,
"1 N Ocean Boulevard Unit 404, Boca Raton, FL",https://www.estately.com/listings/info/1-n-ocean-boulevard-boca-raton-fl-33432--10,1_N_Ocean_Boulevard_Unit404_Boca_Raton_FL.jpg,"$2,795,000",Condo For Sale,52 photos,Florida's Best Realty Services,3,3.5,"3,318",,
"405 N Ocean Boulevard Unit 1704, Pompano Beach, FL",https://www.estately.com/listings/info/405-n-ocean-boulevard-pompano-beach-fl-33062--17,405_N_Ocean_Boulevard_Unit1704_Pompano_Beach_FL.jpg,"$529,000",Condo For Sale,33 photos,Douglas Elliman,2,2,"1,200",,
"2611 NE 49th St, Lighthouse Point, FL",https://www.estately.com/listings/info/2611-ne-49th-st-lighthouse-point-fl-33064--1,2611_NE_49th_St_Lighthouse_Point_FL.jpg,"$1,471,000",House For Sale,46 photos,,4,3,"2,132","8,000",
"1100 SE 4th Ave Unit 16, Deerfield Beach, FL",https://www.estately.com/listings/info/1100-se-4th-ave-deerfield-beach-fl-33441--19,1100_SE_4th_Ave_Unit16_Deerfield_Beach_FL.jpg,"$185,000",Condo For Sale,27 photos,,1,1,720,,
"2850 NE 14th Street Cswy Unit 201, Pompano Beach, FL",https://www.estately.com/listings/info/2850-ne-14th-street-cswy-pompano-beach-fl-33062--3,2850_NE_14th_Street_Cswy_Unit201_Pompano_Beach_FL.jpg,"$325,000",Condo For Sale,31 photos,,2,2,910,,
"745 Apple Tree Lane, Boca Raton, FL",https://www.estately.com/listings/info/745-apple-tree-lane-boca-raton-fl-33486,745_Apple_Tree_Lane_Boca_Raton_FL.jpg,"$1,575,000",House For Sale,33 photos,Lynn Realty Group,3,2,"1,945","9,350",
"1717 NE 50th St, Pompano Beach, FL",https://www.estately.com/listings/info/1717-ne-50th-st-pompano-beach-fl-33064,1717_NE_50th_St_Pompano_Beach_FL.jpg,"$395,000",House For Sale,25 photos,,3,2,793,"7,500",
"1617 NW 4th St, Boca Raton, FL",https://www.estately.com/listings/info/1617-nw-4th-st-boca-raton-fl-33486,1617_NW_4th_St_Boca_Raton_FL.jpg,"$685,000",House For Sale,47 photos,,3,2,"1,330","8,250",
"1301 N Riverside Dr Unit 8, Pompano Beach, FL",https://www.estately.com/listings/info/1301-n-riverside-dr-pompano-beach-fl-33062--6,1301_N_Riverside_Dr_Unit8_Pompano_Beach_FL.jpg,"$850,000",Condo For Sale,32 photos,,3,2.5,"1,720",,
"1945 NW 4th Ave Unit 29, Boca Raton, FL",https://www.estately.com/listings/info/1945-nw-4th-ave-boca-raton-fl-33432,1945_NW_4th_Ave_Unit29_Boca_Raton_FL.jpg,"$374,888",Condo For Sale,35 photos,,3,3,"1,428",,
"2697 N Ocean Boulevard Unit 407-F, Boca Raton, FL",https://www.estately.com/listings/info/2697-n-ocean-boulevard-boca-raton-fl-33431--5,2697_N_Ocean_Boulevard_Unit407F_Boca_Raton_FL.jpg,"$799,000",Condo For Sale,76 photos,Poinciana Realty,2,2,"1,305",,
"500 SW 15th Avenue, Boca Raton, FL",https://www.estately.com/listings/info/500-sw-15th-avenue-boca-raton-fl-33486,500_SW_15th_Avenue_Boca_Raton_FL.jpg,"$925,000",House For Sale,37 photos,One Sotheby's International Realty,3,2,"1,408","8,250",
"18 Royal Palm Way Unit 5050, Boca Raton, FL",https://www.estately.com/listings/info/18-royal-palm-way-boca-raton-fl-33432--6,18_Royal_Palm_Way_Unit5050_Boca_Raton_FL.jpg,"$425,000",Condo For Sale,48 photos,One Sotheby's International Realty,2,2,"1,095",,
"1505 SW Southwest 4th Ave, Boca Raton, FL",https://www.estately.com/listings/info/1505-sw-southwest-4th-ave-boca-raton-fl-33432,1505_SW_Southwest_4th_Ave_Boca_Raton_FL.jpg,"$2,590,000",House For Sale,67 photos,,4,3.5,"3,114","8,225",
"950 NW 17th Ave, Boca Raton, FL",https://www.estately.com/listings/info/950-nw-17th-ave-boca-raton-fl-33486,950_NW_17th_Ave_Boca_Raton_FL.jpg,"$785,000",House For Sale,55 photos,,3,2,"1,678","9,147",
"3230 NE 13th St Unit 1, Pompano Beach, FL",https://www.estately.com/listings/info/3230-ne-13th-st-pompano-beach-fl-33062--3,3230_NE_13th_St_Unit1_Pompano_Beach_FL.jpg,"$299,900",Condo For Sale,28 photos,,1,1,427,,
"480 NW 20th Street Unit 312, Boca Raton, FL",https://www.estately.com/listings/info/480-nw-20th-street-boca-raton-fl-33431--6,480_NW_20th_Street_Unit312_Boca_Raton_FL.jpg,"$295,000",Condo For Sale,21 photos,Perfect Properties of the Palm Beaches,2,2,936,,
"1571 SW 13th St, Boca Raton, FL",https://www.estately.com/listings/info/1571-sw-13th-st-boca-raton-fl-33486--2,1571_SW_13th_St_Boca_Raton_FL.jpg,"$875,000",House For Sale,26 photos,,5,2,"2,100","12,516",
"298 SW 6th St Unit 2050, Boca Raton, FL",https://www.estately.com/listings/info/298-sw-6th-st-boca-raton-fl-33432--2,298_SW_6th_St_Unit2050_Boca_Raton_FL.jpg,"$320,000",Condo For Sale,14 photos,,2,2,880,,
"1460 NE 31st Ct, Pompano Beach, FL",https://www.estately.com/listings/info/1460-ne-31st-ct-pompano-beach-fl-33064--1,1460_NE_31st_Ct_Pompano_Beach_FL.jpg,"$469,000",House For Sale,67 photos,,4,2,"1,435","5,600",
"2699 NE 15th St Unit 2699, Pompano Beach, FL",https://www.estately.com/listings/info/2699-ne-15th-st-pompano-beach-fl-33062,2699_NE_15th_St_Unit2699_Pompano_Beach_FL.jpg,"$475,000",Townhouse For Sale,46 photos,,2,3,"1,018",,
"994 Walnut Terrace, Boca Raton, FL",https://www.estately.com/listings/info/994-walnut-terrace-boca-raton-fl-33486--4,994_Walnut_Terrace_Boca_Raton_FL.jpg,"$1,425,000",House For Sale,30 photos,Lynn Realty Group,3,2,"1,758","8,800",
"701 SE 21st Avenue Unit 401, Deerfield Beach, FL",https://www.estately.com/listings/info/701-se-21st-avenue-deerfield-beach-fl-33441--1,701_SE_21st_Avenue_Unit401_Deerfield_Beach_FL.jpg,"$1,399,000",Condo For Sale,90 photos,Engel & Voelkers Delray Beach,3,3,"2,220",,
"500 SW 2nd Avenue Unit 2180, Boca Raton, FL",https://www.estately.com/listings/info/500-sw-2nd-avenue-boca-raton-fl-33432--2,500_SW_2nd_Avenue_Unit2180_Boca_Raton_FL.jpg,"$219,000",Condo For Sale,10 photos,Prime Star Realty Inc,2,1,800,,
"600 SW 2nd Avenue Unit 2430, Boca Raton, FL",https://www.estately.com/listings/info/600-sw-2nd-avenue-boca-raton-fl-33432,600_SW_2nd_Avenue_Unit2430_Boca_Raton_FL.jpg,"$229,000",Condo For Sale,12 photos,Prime Star Realty Inc,2,2,864,,
"1501 SE 15th Court Unit 404, Deerfield Beach, FL",https://www.estately.com/listings/info/1501-se-15th-court-deerfield-beach-fl-33441--4,1501_SE_15th_Court_Unit404_Deerfield_Beach_FL.jpg,"$275,000",Condo For Sale,30 photos,The Corcoran Group,1,1,"1,100",,
"1149 NW 13th Street Unit 5, Boca Raton, FL",https://www.estately.com/listings/info/1149-nw-13th-street-boca-raton-fl-33486--4,1149_NW_13th_Street_Unit5_Boca_Raton_FL.jpg,"$375,000",Townhouse For Sale,8 photos,Prime Star Realty Inc,3,2,"1,268",,
"1161 SW 14 Street, Boca Raton, FL",https://www.estately.com/listings/info/1161-sw-14-street-boca-raton-fl-33486,1161_SW_14_Street_Boca_Raton_FL.jpg,"$825,000",House For Sale,20 photos,,2,2,"1,302","9,126",
"1999 NE 53RD CT, Pompano Beach, FL",https://www.estately.com/listings/info/1999-ne-53rd-ct-pompano-beach-fl-33064--1,1999_NE_53RD_CT_Pompano_Beach_FL.jpg,"$498,900",House For Sale,19 photos,,4,3,"1,478","7,500",
"899 SE 2nd Ave Unit 119, Deerfield Beach, FL",https://www.estately.com/listings/info/899-se-2nd-ave-deerfield-beach-fl-33441--7,899_SE_2nd_Ave_Unit119_Deerfield_Beach_FL.jpg,"$144,900",Condo For Sale,28 photos,,1,1,775,,
"340 SE 2nd Ave Unit D4, Deerfield Beach, FL",https://www.estately.com/listings/info/340-se-2nd-ave-deerfield-beach-fl-33441--1,340_SE_2nd_Ave_UnitD4_Deerfield_Beach_FL.jpg,"$355,000",Condo For Sale,9 photos,,3,2.5,"1,462",,
"2611 N Riverside Dr Unit 301, Pompano Beach, FL",https://www.estately.com/listings/info/2611-n-riverside-dr-pompano-beach-fl-33062--12,2611_N_Riverside_Dr_Unit301_Pompano_Beach_FL.jpg,"$510,000",Condo For Sale,39 photos,,2,2,"1,102",,
"621 SW 15th St, Deerfield Beach, FL",https://www.estately.com/listings/info/621-sw-15th-st-deerfield-beach-fl-33441--1,621_SW_15th_St_Deerfield_Beach_FL.jpg,"$510,000",House For Sale,14 photos,,4,2,"1,646","6,300",
"1041 Hillsboro Mile Unit 18, Hillsboro Beach, FL",https://www.estately.com/listings/info/1041-hillsboro-mile-hillsboro-beach-fl-33062--5,1041_Hillsboro_Mile_Unit18_Hillsboro_Beach_FL.jpg,"$375,000",House For Sale,30 photos,,1,1,860,,
"101 NE 19th Ave Unit 110, Deerfield Beach, FL",https://www.estately.com/listings/info/101-ne-19th-ave-deerfield-beach-fl-33441--6,101_NE_19th_Ave_Unit110_Deerfield_Beach_FL.jpg,"$424,500",Condo For Sale,69 photos,,2,2,941,,
"2851 S Ocean Blvd Unit 6V, Boca Raton, FL",https://www.estately.com/listings/info/2851-s-ocean-blvd-boca-raton-fl-33432--7,2851_S_Ocean_Blvd_Unit6V_Boca_Raton_FL.jpg,"$493,500",Condo For Sale,13 photos,,2,2,"1,535",,
"101 Briny Avenue Unit 403, Pompano Beach, FL",https://www.estately.com/listings/info/101-briny-avenue-pompano-beach-fl-33062--6,101_Briny_Avenue_Unit403_Pompano_Beach_FL.jpg,"$499,950",Condo For Sale,23 photos,,2,2,933,,
"1380 SW 5th Court, Boca Raton, FL",https://www.estately.com/listings/info/1380-sw-5th-court-boca-raton-fl-33432,1380_SW_5th_Court_Boca_Raton_FL.jpg,"$1,899,900",House For Sale,36 photos,FloridaHomesBocaRaton.com,3,2,"2,032",,
"105 NE 19th Ave Unit 164, Deerfield Beach, FL",https://www.estately.com/listings/info/105-ne-19th-ave-deerfield-beach-fl-33441,105_NE_19th_Ave_Unit164_Deerfield_Beach_FL.jpg,"$495,000",Condo For Sale,52 photos,,2,2,941,,
"550 S Ocean Boulevard Unit 1905, Boca Raton, FL",https://www.estately.com/listings/info/550-s-ocean-boulevard-boca-raton-fl-33432--46,550_S_Ocean_Boulevard_Unit1905_Boca_Raton_FL.jpg,"$2,250,000",Condo For Sale,50 photos,The Corcoran Group,2,2,"1,448",,
"1710 SW 2nd Ave Avenue, Boca Raton, FL",https://www.estately.com/listings/info/1710-sw-2nd-ave-avenue-boca-raton-fl-33432,1710_SW_2nd_Ave_Avenue_Boca_Raton_FL.jpg,"$1,699,000",House For Sale,29 photos,Douglas Elliman,6,4.5,"3,458",,
"1650 SW 2nd Avenue, Boca Raton, FL",https://www.estately.com/listings/info/1650-sw-2nd-avenue-boca-raton-fl-33432--5,1650_SW_2nd_Avenue_Boca_Raton_FL.jpg,"$1,379,000",House For Sale,19 photos,Douglas Elliman,4,3,"3,022",,
"166 SW 5th Street, Deerfield Beach, FL",https://www.estately.com/listings/info/166-sw-5th-street-deerfield-beach-fl-33441,166_SW_5th_Street_Deerfield_Beach_FL.jpg,"$399,000",House For Sale,37 photos,KW Innovations,3,1,"1,199",,
"891 SW Hickory Terrace, Boca Raton, FL",https://www.estately.com/listings/info/891-sw-hickory-terrace-boca-raton-fl-33486--2,891_SW_Hickory_Terrace_Boca_Raton_FL.jpg,"$1,999,900",House For Sale,61 photos,Coldwell Banker,3,2,"1,965",,
"1001 NE 4th St, Pompano Beach, FL",https://www.estately.com/listings/info/1001-ne-4th-st-pompano-beach-fl-33060--1,1001_NE_4th_St_Pompano_Beach_FL.jpg,"$615,000",House For Sale,20 photos,,3,2,"1,092","5,207",
"3650 NE 13th Ter, Pompano Beach, FL",https://www.estately.com/listings/info/3650-ne-13th-ter-pompano-beach-fl-33064--1,3650_NE_13th_Ter_Pompano_Beach_FL.jpg,"$485,000",House For Sale,26 photos,,3,3,"1,304","5,351",
"2900 NE 14th Street Cswy Unit 507, Pompano Beach, FL",https://www.estately.com/listings/info/2900-ne-14th-street-cswy-pompano-beach-fl-33062--27,2900_NE_14th_Street_Cswy_Unit507_Pompano_Beach_FL.jpg,"$649,000",Condo For Sale,40 photos,,2,2,"1,490",,
"401 N Riverside Dr Unit 201, Pompano Beach, FL",https://www.estately.com/listings/info/401-n-riverside-dr-pompano-beach-fl-33062--7,401_N_Riverside_Dr_Unit201_Pompano_Beach_FL.jpg,"$435,000",House For Sale,21 photos,,2,2,"1,150",,
"3216 SE 8th Street Unit 202, Pompano Beach, FL",https://www.estately.com/listings/info/3216-se-8th-street-pompano-beach-fl-33062--1,3216_SE_8th_Street_Unit202_Pompano_Beach_FL.jpg,"$279,000",Condo For Sale,30 photos,Compass Florida LLC,1,1,590,,
"1012 N Ocean Blvd Unit 1412, Pompano Beach, FL",https://www.estately.com/listings/info/1012-n-ocean-blvd-pompano-beach-fl-33062--33,1012_N_Ocean_Blvd_Unit1412_Pompano_Beach_FL.jpg,"$599,900",Condo For Sale,43 photos,,2,2,"1,360",,
"109 SE 11th Ave. #1-3, Pompano Beach, FL",https://www.estately.com/listings/info/109-se-11th-ave-1-3-pompano-beach-fl-33060,109_SE_11th_Ave_13_Pompano_Beach_FL.jpg,"$925,000",Multifamily For Sale,72 photos,,–,–,"2,485",,
"1236 Hillsboro Mile Unit 403, Hillsboro Beach, FL",https://www.estately.com/listings/info/1236-hillsboro-mile-hillsboro-beach-fl-33062--8,1236_Hillsboro_Mile_Unit403_Hillsboro_Beach_FL.jpg,"$600,000",Condo For Sale,54 photos,One Sotheby's International Realty,2,2,"1,150",,
"299 N Riverside Dr Unit 301, Pompano Beach, FL",https://www.estately.com/listings/info/299-n-riverside-dr-pompano-beach-fl-33062--23,299_N_Riverside_Dr_Unit301_Pompano_Beach_FL.jpg,"$575,000",Condo For Sale,42 photos,,2,2,"1,422",,
"812 Malaga Drive, Boca Raton, FL",https://www.estately.com/listings/info/812-malaga-drive-boca-raton-fl-33432--1,812_Malaga_Drive_Boca_Raton_FL.jpg,"$4,950,000",House For Sale,16 photos,Serhant,5,5,"4,434",,
"600 SE 2nd Avenue Unit K2, Deerfield Beach, FL",https://www.estately.com/listings/info/600-se-2nd-avenue-deerfield-beach-fl-33441--4,600_SE_2nd_Avenue_UnitK2_Deerfield_Beach_FL.jpg,"$199,000",Condo For Sale,29 photos,Goldstone Realty LLC,2,1,840,,
"280 E Palmetto Park Road Unit 24, Boca Raton, FL",https://www.estately.com/listings/info/280-e-palmetto-park-road-boca-raton-fl-33432,280_E_Palmetto_Park_Road_Unit24_Boca_Raton_FL.jpg,"$2,504,000",Condo For Sale,6 photos,Douglas Elliman,2,2.5,"2,504",,
"336 E Coconut Palm Road, Boca Raton, FL",https://www.estately.com/listings/info/336-e-coconut-palm-road-boca-raton-fl-33432,336_E_Coconut_Palm_Road_Boca_Raton_FL.jpg,"$12,750,000",House For Sale,60 photos,Royal Palm Properties LLC,5,6,"7,508",,
"1965 SE 5th Ct Unit 105, Pompano Beach, FL",https://www.estately.com/listings/info/1965-se-5th-ct-pompano-beach-fl-33060--7,1965_SE_5th_Ct_Unit105_Pompano_Beach_FL.jpg,"$175,000",Condo For Sale,19 photos,,1,1,670,,
"2727 N Ocean Boulevard Unit A112, Boca Raton, FL",https://www.estately.com/listings/info/2727-n-ocean-boulevard-boca-raton-fl-33431--15,2727_N_Ocean_Boulevard_UnitA112_Boca_Raton_FL.jpg,"$625,000",Condo For Sale,63 photos,Keller Williams Realty Services,2,2,"1,375",,
