issuer_name,disclosure_desc,link,date_posted
"OVERTON INDEPENDENT SCHOOL DISTRICT (RUSK COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11111149,01/09/2021
"OVERTON INDEPENDENT SCHOOL DISTRICT (RUSK COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11111149,01/09/2021
