issuer_name,disclosure_desc,link,date_posted
"CHICO INDEPENDENT SCHOOL DISTRICT, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097258,02/20/2021
"CHICO INDEPENDENT SCHOOL DISTRICT, TEXAS (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS LOCATED IN WISE COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097258,02/20/2021
CHICO TEX INDPT SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097258,02/20/2021
"GAINESVILLE INDEPENDENT SCHOOL DISTRICT (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS LOCATED IN COOKE COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097259,02/20/2021
"GAINESVILLE INDEPENDENT SCHOOL DISTRICT (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS LOCATED IN COOKE COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097259,02/20/2021
"GAINESVILLE INDEPENDENT SCHOOL DISTRICT, COOKE COUNTY, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097259,02/20/2021
GAINESVILLE TEX INDPT SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097259,02/20/2021
GEORGE WEST INDEPENDENT SCHOOL DISTRICT,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097270,02/20/2021
"GEORGE WEST INDEPENDENT SCHOOL DISTRICT (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS LOCATED IN LIVE OAK COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097270,02/20/2021
"GEORGE WEST INDEPENDENT SCHOOL DISTRICT, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097270,02/20/2021
"GROESBECK INDEPENDENT SCHOOL DISTRICT, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097260,02/20/2021
"HARRIS COUNTY DEPARTMENT OF EDUCATION (HARRIS COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097256,02/20/2021
"HARRIS COUNTY DEPARTMENT OF EDUCATION PUBLIC FACILITIES CORPORATION (HARRIS COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097255,02/20/2021
"JIM HOGG COUNTY INDEPENDENT SCHOOL DISTRICT (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS LOCATED IN JIM HOGG COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097269,02/20/2021
LONGVIEW INDEPENDENT SCHOOL DISTRICT,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097261,02/20/2021
"LONGVIEW INDEPENDENT SCHOOL DISTRICT,",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097261,02/20/2021
LONGVIEW ISD (GREG COUNTY) TEXAS,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097261,02/20/2021
LONGVIEW TEX INDPT SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097261,02/20/2021
NORTH CENTRAL TEXAS COMMUNITY COLLEGE DISTRICT,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097265,02/20/2021
PANHANDLE TEX INDPT SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097262,02/20/2021
"PETTUS INDEPENDENT SCHOOL DISTRICT (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS LOCATED IN BEE AND KARNES COUNTIES, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097271,02/20/2021
"SCHOOL FACILITIES IMPROVEMENT DISTRICT NO. 1 OF UPPER LAKE UNIFIED SCHOOL DISTRICT (K-8 AREA) (LAKE COUNTY, CALIFORNIA)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097266,02/20/2021
"SEYMOUR INDEPENDENT SCHOOL DISTRICT, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097263,02/20/2021
"SPEARMAN INDEPENDENT SCHOOL DISTRICT, TEXAS",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097264,02/20/2021
SPEARMAN TEX INDPT SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097264,02/20/2021
UPPER LAKE CALIF UNI SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097266,02/20/2021
UPPER LAKE UN HIGH SCH DIST CA,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097266,02/20/2021
UPPER LAKE UN HIGH SCH DIST CA,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097268,02/20/2021
UPPER LAKE UN HIGH SCH DIST CA,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097267,02/20/2021
UPPER LAKE UNIFIED SCHOOL DISTRICT (LAKE COUNTY),Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P21097266,02/20/2021
