issuer_name,disclosure_desc,link,date_posted
-,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081643,02/11/2021
"ACADEMY INDEPENDENT SCHOOL DISTRICT (BELL COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081747,02/11/2021
"ACADEMY INDEPENDENT SCHOOL DISTRICT (BELL COUNTY, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081751,02/11/2021
ACADEMY TEX INDPT SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081751,02/11/2021
ACADEMY TEX INDPT SCH DIST,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081747,02/11/2021
"ARANSAS PASS INDEPENDENT SCHOOL DISTRICT (A POLITICAL SUBDIVISION OF THE STATE OF TEXAS LOCATED IN SAN PATRICIO, ARANSAS, AND NUECES COUNTIES, TEXAS)",Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P11117079,02/11/2021
BALDY MESA CALIF WTR DIST CTFS PARTN,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31082133,02/11/2021
BEAUMONT (CITY OF) COMMUNITY FACILITIES DISTRICT NO. 93-1 (IMPROVEMENT AREA NO. 8F),Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081618,02/11/2021
BEAUMONT (CITY OF) COMMUNITY FACILITIES DISTRICT NUMBER 2016-4,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081626,02/11/2021
BEAUMONT CALIF CMNTY FACS DIST NO 93-1 SPL TAX,Annual Financial Information and Operating Data,https://emma.msrb.org/MarketActivity/ContinuingDisclosureDetails/P31081608,02/11/2021
