Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Sold Date
"242 County Road 1250, Mount Pleasant, TX",https://www.estately.com/listings/info/242-county-road-1250-mount-pleasant-tx-75455,242_County_Road_1250_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Texas Hunting Land. LLC,3,2,"2,566",,05/28/2024
"818 N Johnson Avenue, Mount Pleasant, TX",https://www.estately.com/listings/info/818-n-johnson-avenue-mount-pleasant-tx-75455,818_N_Johnson_Avenue_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Davis Country Real Estate,4,1,"1,810","10,628",05/23/2024
"416 Hickory, Mount Pleasant, TX",https://www.estately.com/listings/info/416-hickory-mount-pleasant-tx-75455,416_Hickory_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,827","14,400",05/15/2024
"Tbd E 4th Street, Mount Pleasant, TX",https://www.estately.com/listings/info/tbd-e-4th-street-mount-pleasant-tx-75455,Tbd_E_4th_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Suzie Castillo, Broker",–,–,–,"13,285",05/14/2024
"453 Private Road 1625, Mount Pleasant, TX",https://www.estately.com/listings/info/453-county-road-1625-mount-pleasant-tx-75455--1,453_Private_Road_1625_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Compass RE Texas, LLC",–,–,–,,05/06/2024
"453 Private Road 1625, Mount Pleasant, TX",https://www.estately.com/listings/info/453-county-road-1625-mount-pleasant-tx-75455,453_Private_Road_1625_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Compass RE Texas, LLC",3,3,"2,600",,05/06/2024
"414 Walnut Street, Mount Pleasant, TX",https://www.estately.com/listings/info/414-walnut-street-mount-pleasant-tx-75455,414_Walnut_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,680","13,499",05/01/2024
"504 Alan, Mount Pleasant, TX",https://www.estately.com/listings/info/504-alan-mount-pleasant-tx-75455,504_Alan_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,3,"1,961","10,890",04/29/2024
"306 Julia Street, Mount Pleasant, TX",https://www.estately.com/listings/info/306-julia-street-mount-pleasant-tx-75455,306_Julia_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,024","10,062",04/22/2024
"000 Carolina Way Lot 15, Mount Pleasant, TX",https://www.estately.com/listings/info/000-carolina-way-lot-15-mount-pleasant-tx-75455,000_Carolina_Way_Lot_15_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Mayben Realty, LLC",–,–,–,,04/12/2024
"100 Sr Community Drive, Mount Pleasant, TX",https://www.estately.com/listings/info/100-sr-community-drive-mount-pleasant-tx-75455,100_Sr_Community_Drive_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Berkshire HathawayHS PenFed TX,4,3,"2,152",,02/26/2024
"901 Deer Trail Ln., Deer Trail Ln, Mount Pleasant, TX",https://www.estately.com/listings/info/901-deer-trail-ln-deer-trail-ln-mount-pleasant-tx-75455,901_Deer_Trail_Ln_Deer_Trail_Ln_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Town Lake Country Realty, LLC",3,2,"1,780",,01/26/2024
"516 Brookwood Drive, Mount Pleasant, TX",https://www.estately.com/listings/info/516-brookwood-drive-mount-pleasant-tx-75455--1,516_Brookwood_Drive_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",4,3,"2,142","11,251",01/03/2024
"Tbd Fm 1402, Mount Pleasant, TX",https://www.estately.com/listings/info/tbd-fm-1402-mount-pleasant-tx-75455,Tbd_Fm_1402_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Mayben Realty, LLC",–,–,–,,12/04/2023
"110 S Riddle, Mount Pleasant, TX",https://www.estately.com/listings/info/110-s-riddle-mount-pleasant-tx-75455,110_S_Riddle_Mount_Pleasant_TX.jpg,Price not listed,Sold Townhouse,1 photo,"Town Lake Country Realty, LLC",2,2,"1,395","6,708",11/17/2023
"000 S Williams Avenue, Mount Pleasant, TX",https://www.estately.com/listings/info/000-s-williams-avenue-mount-pleasant-tx-75455,000_S_Williams_Avenue_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Mayben Realty, LLC",–,–,–,,11/15/2023
"402 Dogwood, Mount Pleasant, TX",https://www.estately.com/listings/info/402-dogwood-mount-pleasant-tx-75455,402_Dogwood_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",4,3,"2,547",,11/03/2023
"43 County Road 4857, Mount Pleasant, TX",https://www.estately.com/listings/info/43-county-road-4857-mount-pleasant-tx-75455,43_County_Road_4857_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,3,"1,578",,10/31/2023
"909 Holly Hill, Mount Pleasant, TX",https://www.estately.com/listings/info/909-holly-hill-mount-pleasant-tx-75455,909_Holly_Hill_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",4,3,"2,615",,10/23/2023
"Tbd Cr 1734, Mount Pleasant, TX",https://www.estately.com/listings/info/tbd-cr-1734--1,Tbd_Cr_1734_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Town Lake Country Realty, LLC",–,–,–,,10/19/2023
"809 Van Buren, Mount Pleasant, TX",https://www.estately.com/listings/info/809-van-buren-mount-pleasant-tx-75455,809_Van_Buren_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,1,"1,164","13,503",10/10/2023
"1211 Earnest Street, Mount Pleasant, TX",https://www.estately.com/listings/info/1211-earnest-street-mount-pleasant-tx-75455,1211_Earnest_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,C. W. Sparks Management,4,3,"1,344","9,757",09/29/2023
"395 Pvt Rd 2367, Mount Pleasant, TX",https://www.estately.com/listings/info/395-pvt-rd-2367-mount-pleasant-tx-74544,395_Pvt_Rd_2367_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,3,"2,324",,09/18/2023
"101 Cr 4742, Mount Pleasant, TX",https://www.estately.com/listings/info/101-cr-4742-mount-pleasant-tx-75455,101_Cr_4742_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,2,"1,934",,09/08/2023
"125 S Quillie Avenue, Mount Pleasant, TX",https://www.estately.com/listings/info/125-s-quillie-avenue-mount-pleasant-tx-75455,125_S_Quillie_Avenue_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Patrick Redfearn Realty, LLC",3,2,"1,475","10,890",09/05/2023
"1305 E 1st Street, Mount Pleasant, TX",https://www.estately.com/listings/info/1305-e-1st-street-mount-pleasant-tx-75455,1305_E_1st_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,4,2,"2,047",,08/22/2023
"Tbd Cr 2400, Mount Pleasant, TX",https://www.estately.com/listings/info/tbd-cr-2400-mount-pleasant-tx-75455,Tbd_Cr_2400_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Town Lake Country Realty, LLC",–,–,–,,08/11/2023
"1107 Earnest Street, Mount Pleasant, TX",https://www.estately.com/listings/info/1107-earnest-street-mount-pleasant-tx-75455,1107_Earnest_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,1,960,"13,503",07/31/2023
"1011 E 9th Street, Mount Pleasant, TX",https://www.estately.com/listings/info/1011-e-9th-street-mount-pleasant-tx-75455,1011_E_9th_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,4,2,"1,579","11,804",07/24/2023
"Tbd Fm 2152, Mount Pleasant, TX",https://www.estately.com/listings/info/tbd-fm-2152-mount-pleasant-tx-75455--1,Tbd_Fm_2152_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,Landmark Assocaites Realty,–,–,–,,07/24/2023
"811 E 9th Street, Mount Pleasant, TX",https://www.estately.com/listings/info/811-e-9th-street-mount-pleasant-tx-75455,811_E_9th_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,2,"1,433","8,624",06/02/2023
"102 Cr 4226, Mount Pleasant, TX",https://www.estately.com/listings/info/102-cr-4226-mount-pleasant-tx-75455,102_Cr_4226_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Patrick Redfearn Realty, LLC",4,3,"2,400",,05/12/2023
"6523 Fm 1402, Mount Pleasant, TX",https://www.estately.com/listings/info/6523-fm-1402-mount-pleasant-tx-75455,6523_Fm_1402_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",2,1,828,,05/02/2023
"340 Cr 1673, Mount Pleasant, TX",https://www.estately.com/listings/info/340-cr-1673-mount-pleasant-tx-75455,340_Cr_1673_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,190",,04/24/2023
"3159 Farm Market 1734, Mount Pleasant, TX",https://www.estately.com/listings/info/3159-farm-market-1734-mount-pleasant-tx-75455,3159_Farm_Market_1734_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Century 21 Landmark,4,2,"2,356",,04/21/2023
"505 Dunn, Mount Pleasant, TX",https://www.estately.com/listings/info/505-dunn-mount-pleasant-tx-75455,505_Dunn_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,2,"1,849","13,068",04/18/2023
"301 Cr 1450, Mount Pleasant, TX",https://www.estately.com/listings/info/301-cr-1450-mount-pleasant-tx-75455,301_Cr_1450_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,2,"1,400",,04/13/2023
"520 W Fm 71, Mount Pleasant, TX",https://www.estately.com/listings/info/520-w-fm-71-mount-pleasant-tx-75455,520_W_Fm_71_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,560",,04/13/2023
"Tbd Private Road 2319, Mount Pleasant, TX",https://www.estately.com/listings/info/tbd-private-road-2319-mount-pleasant-tx-75455,Tbd_Private_Road_2319_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,Century 21 Landmark,–,–,–,,03/31/2023
"550 Cr 4765, Mount Pleasant, TX",https://www.estately.com/listings/info/550-cr-4765-mount-pleasant-tx-75455--1,550_Cr_4765_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,4,"2,749",,03/29/2023
"206 E Cross, Mount Pleasant, TX",https://www.estately.com/listings/info/206-e-cross-mount-pleasant-tx-75455--1,206_E_Cross_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,299","11,325",03/27/2023
"8828 Fm 1402, Mount Pleasant, TX",https://www.estately.com/listings/info/8828-fm-1402-mount-pleasant-tx-75455,8828_Fm_1402_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",5,3,"3,638",,03/21/2023
"53 Cr 1357, Mount Pleasant, TX",https://www.estately.com/listings/info/53-cr-1357-mount-pleasant-tx-75455,53_Cr_1357_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,402",,03/03/2023
"801 Carr Drive, Mount Pleasant, TX",https://www.estately.com/listings/info/801-carr-drive-mount-pleasant-tx-75455,801_Carr_Drive_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,1,"1,428","15,246",02/23/2023
"404 Dellwood, Mount Pleasant, TX",https://www.estately.com/listings/info/404-dellwood-mount-pleasant-tx-75455,404_Dellwood_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Century 21 Landmark,2,2,"1,612","11,761",02/17/2023
"63 Cr 3230, Mount Pleasant, TX",https://www.estately.com/listings/info/63-cr-3230-mount-pleasant-tx-75455,63_Cr_3230_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Davis Country Real Estate,3,2,"1,576",,01/26/2023
"701 E Fourth Street, Mount Pleasant, TX",https://www.estately.com/listings/info/701-e-fourth-street-mount-pleasant-tx-75455,701_E_Fourth_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",3,2,"1,770",,01/13/2023
"703 Fleming, Mount Pleasant, TX",https://www.estately.com/listings/info/703-fleming-mount-pleasant-tx-75455,703_Fleming_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Century 21 Landmark,3,3,"2,920",,12/27/2022
"9955 Cr 1200, Mount Pleasant, TX",https://www.estately.com/listings/info/9955-cr-1200-mount-pleasant-tx-75455,9955_Cr_1200_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Mayben Realty, LLC",–,–,–,,12/19/2022
"1704 E 8th Street, Mount Pleasant, TX",https://www.estately.com/listings/info/1704-e-8th-street-mount-pleasant-tx-75455,1704_E_8th_Street_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Davis Country Real Estate,3,2,"1,560","8,751",12/19/2022
"503 Dunn Avenue, Mount Pleasant, TX",https://www.estately.com/listings/info/503-dunn-avenue-mount-pleasant-tx-75455,503_Dunn_Avenue_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,"Mayben Realty, LLC",4,2,"2,136","14,535",12/02/2022
"Tbd Caddo Trl, Mount Pleasant, TX",https://www.estately.com/listings/info/tbd-caddo-trl-mount-pleasant-tx-75455,Tbd_Caddo_Trl_Mount_Pleasant_TX.jpg,Price not listed,Sold Land,1 photo,"Mayben Realty, LLC",–,–,–,,11/30/2022
"210 W Pecan, Mount Pleasant, TX",https://www.estately.com/listings/info/210-w-pecan-mount-pleasant-tx-75455,210_W_Pecan_Mount_Pleasant_TX.jpg,Price not listed,Sold House,1 photo,Lighthouse Realty,3,1,"1,168","11,761",11/21/2022
