Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"109 42 Centreville Street, Ozone Park, NY",https://www.estately.com/listings/info/109-42-centreville-street-ozone-park-ny-11417--2,109_42_Centreville_Street_Ozone_Park_NY.jpg,"$919,000",Multifamily For Sale,23 photos,Century 21 Amiable Rlty Grp II,5,3,"1,740","2,609"
"5 03 119th Street, Flushing, NY",https://www.estately.com/listings/info/5-03-119th-street-flushing-ny-11356,5_03_119th_Street_Flushing_NY.jpg,"$1,299,000",House For Sale,6 photos,Eagle Realty Group New York,4,3,"1,542","4,500"
"230 21 88th Avenue, Bellerose, NY",https://www.estately.com/listings/info/230-21-88th-avenue-bellerose-ny-11426,230_21_88th_Avenue_Bellerose_NY.jpg,"$1,199,000",Multifamily For Sale,34 photos,Century 21 Excelsior Realty,3,3,–,"3,981"
"131 05 40th Road Unit Ph1T, Flushing, NY",https://www.estately.com/listings/info/131-05-40th-road-flushing-ny-11354--64,131_05_40th_Road_UnitPh1T_Flushing_NY.jpg,"$638,000",Condo For Sale,9 photos,United Real Estate Fortune,–,1,492,
"148 09 Northern Boulevard Unit 4L, Flushing, NY",https://www.estately.com/listings/info/148-09-northern-boulevard-flushing-ny-11354--39,148_09_Northern_Boulevard_Unit4L_Flushing_NY.jpg,"$835,000",Condo For Sale,13 photos,Corcoran,2,2,–,
"42 78 Hampton St, Elmhurst, NY",https://www.estately.com/listings/info/42-78-hampton-st-elmhurst-ny-11373,42_78_Hampton_St_Elmhurst_NY.jpg,"$1,350,000",Multifamily For Sale,1 photo,Tyme Realty Corp,4,3,–,"2,500"
"146 17 34th Avenue, Flushing, NY",https://www.estately.com/listings/info/146-17-34th-avenue-flushing-ny-11354,146_17_34th_Avenue_Flushing_NY.jpg,"$1,088,000",House,3 photos,Signature Premier Properties,3,2,–,"3,000"
"78 37 62nd Street Street, Glendale, NY",https://www.estately.com/listings/info/78-37-62nd-street-street-glendale-ny-11385,78_37_62nd_Street_Street_Glendale_NY.jpg,"$699,000",Multifamily For Sale,1 photo,Crifasi Real Estate Inc,2,2,–,"2,300"
"115 60 227th Street, Cambria Heights, NY",https://www.estately.com/listings/info/115-60-227th-street-cambria-heights-ny-11411--1,115_60_227th_Street_Cambria_Heights_NY.jpg,"$650,000",Townhouse For Sale,15 photos,D Scully Realty Group LLC,2,2,–,"2,900"
"159 19 82nd Street, Howard Beach, NY",https://www.estately.com/listings/info/159-19-82nd-street-howard-beach-ny-11414,159_19_82nd_Street_Howard_Beach_NY.jpg,"$959,000",House For Sale,28 photos,Century 21 Amiable Rlty Grp II,3,2,–,"5,000"
"15 31 149 Street, Whitestone, NY",https://www.estately.com/listings/info/15-31-149-street-whitestone-ny-11357,15_31_149_Street_Whitestone_NY.jpg,"$888,000",House For Sale,10 photos,Keller Williams Rlty Landmark,–,2,"1,000","1,667"
"115 25 Metropolitan Avenue Unit 342, Kew Gardens, NY",https://www.estately.com/listings/info/115-25-metropolitan-avenue-kew-gardens-ny-11418--5,115_25_Metropolitan_Avenue_Unit342_Kew_Gardens_NY.jpg,"$499,000",House For Sale,20 photos,Signature Premier Properties,2,1,–,
"155 37 Bridgeton Street, Howard Beach, NY",https://www.estately.com/listings/info/155-41-bridgeton-street-howard-beach-ny-11414--2,155_37_Bridgeton_Street_Howard_Beach_NY.jpg,"$1,369,000",Multifamily For Sale,36 photos,Century 21 Amiable Rlty Grp II,6,6,–,"4,000"
"251 53 61st Avenue Unit 2-712, Little Neck, NY",https://www.estately.com/listings/info/251-53-61st-avenue-little-neck-ny-11362--1,251_53_61st_Avenue_Unit2712_Little_Neck_NY.jpg,"$285,000",House For Sale,19 photos,Douglas Elliman Real Estate,1,1,650,
"35 40 82 Street Unit 6C, Jackson Heights, NY",https://www.estately.com/listings/info/35-40-82-street-jackson-heights-ny-11372--5,35_40_82_Street_Unit6C_Jackson_Heights_NY.jpg,"$600,000",House For Sale,14 photos,RE/MAX Team,2,1,"1,000",
"69 10 108th Street Unit 3M, Forest Hills, NY",https://www.estately.com/listings/info/69-10-108th-street-forest-hills-ny-11375--20,69_10_108th_Street_Unit3M_Forest_Hills_NY.jpg,"$549,000",House For Sale,24 photos,Oxford Property Group USA,2,1,975,
"71 20 252 Street Unit 67B, Bellerose, NY",https://www.estately.com/listings/info/71-20-252-street-bellerose-ny-11426--1,71_20_252_Street_Unit67B_Bellerose_NY.jpg,"$248,000",House For Sale,12 photos,Keller Williams Realty Greater,1,1,–,
"174 15 127th Avenue, Jamaica, NY",https://www.estately.com/listings/info/174-15-127th-avenue-jamaica-ny-11434,174_15_127th_Avenue_Jamaica_NY.jpg,"$849,999",Multifamily For Sale,22 photos,EXP Realty,5,3,"1,680","2,910"
"95 08 65th Road Unit 1A, Flushing, NY",https://www.estately.com/listings/info/95-08-65th-road-flushing-ny-11374,95_08_65th_Road_Unit1A_Flushing_NY.jpg,"$259,000",Condo For Sale,1 photo,Exit Realty Prime,–,1,530,
"118 18 190th Street, Saint Albans, NY",https://www.estately.com/listings/info/118-18-190th-street-saint-albans-ny-11412,118_18_190th_Street_Saint_Albans_NY.jpg,"$680,000",House For Sale,2 photos,Keller Williams Realty Liberty,3,2,–,"2,500"
"153 11 122nd Avenue, Jamaica, NY",https://www.estately.com/listings/info/153-11-122nd-avenue-jamaica-ny-11434--1,153_11_122nd_Avenue_Jamaica_NY.jpg,"$699,999",Multifamily For Sale,15 photos,Power Move Realty,3,3,–,"4,000"
"111 25 177th Street, Jamaica, NY",https://www.estately.com/listings/info/111-25-177th-street-jamaica-ny-11433,111_25_177th_Street_Jamaica_NY.jpg,"$535,000",House For Sale,2 photos,The C Y D Realty Group LLC,3,1,"3,800","3,800"
"35 05 167th Street Unit 1, Flushing, NY",https://www.estately.com/listings/info/35-05-167th-street-flushing-ny-11358--2,35_05_167th_Street_Unit1_Flushing_NY.jpg,"$389,000",House For Sale,2 photos,Keller Williams Rlty Landmark,1,1,–,
"117 21 134th Street, Jamaica, NY",https://www.estately.com/listings/info/117-21-134th-street-jamaica-ny-11420,117_21_134th_Street_Jamaica_NY.jpg,"$1,199,000",Multifamily For Sale,24 photos,Keller Williams Rlty Landmark,6,4,–,"3,133"
"141 05 Pershing Crescent Unit 305, Briarwood, NY",https://www.estately.com/listings/info/141-05-pershing-crescent-briarwood-ny-11435--53,141_05_Pershing_Crescent_Unit305_Briarwood_NY.jpg,"$238,888",House For Sale,26 photos,INLUXXE Realty LLC,1,1,–,
"85 94 150th Street, Briarwood, NY",https://www.estately.com/listings/info/85-94-150th-street-briarwood-ny-11435,85_94_150th_Street_Briarwood_NY.jpg,"$1,289,000",Multifamily For Sale,26 photos,Keller Williams Realty Greater,4,3,"1,832","3,720"
"187 20 87th Road, Jamaica Estates, NY",https://www.estately.com/listings/info/187-20-87th-road-jamaica-estates-ny-11432,187_20_87th_Road_Jamaica_Estates_NY.jpg,"$900,000",House For Sale,25 photos,ERealty Advisors Inc,3,3,–,"4,000"
"66 27 Commonwealth Boulevard, Little Neck, NY",https://www.estately.com/listings/info/66-27-commonwealth-boulevard-little-neck-ny-11362,66_27_Commonwealth_Boulevard_Little_Neck_NY.jpg,"$1,398,000",House,20 photos,Keller Williams Legendary,3,5,–,"7,780"
"166 19 27th Avenue, Flushing, NY",https://www.estately.com/listings/info/166-19-27th-avenue-flushing-ny-11358,166_19_27th_Avenue_Flushing_NY.jpg,"$1,180,000",House,4 photos,East Coast REALTORS  Inc,3,2,–,"3,705"
"43 29 172nd Street, Flushing, NY",https://www.estately.com/listings/info/43-29-172nd-street-flushing-ny-11358--1,43_29_172nd_Street_Flushing_NY.jpg,"$1,199,999",House For Sale,1 photo,Keller Williams Rlty Landmark,3,2,–,"4,621"
"70 11 261st Street Unit E-1, Glen Oaks, NY",https://www.estately.com/listings/info/70-11-261st-street-glen-oaks-ny-11004--2,70_11_261st_Street_UnitE1_Glen_Oaks_NY.jpg,"$389,900",House,1 photo,Miller & Miller Real Estate,2,1,732,
"96 42 149 Avenue, Ozone Park, NY",https://www.estately.com/listings/info/96-42-149-avenue-ozone-park-ny-11417,96_42_149_Avenue_Ozone_Park_NY.jpg,"$700,000",House For Sale,22 photos,Winzone Realty Inc,3,2,"1,120","3,360"
"118 32 218th Street, Cambria Heights, NY",https://www.estately.com/listings/info/118-32-218th-street-cambria-heights-ny-11411,118_32_218th_Street_Cambria_Heights_NY.jpg,"$610,000",House For Sale,5 photos,Coldwell Banker American Homes,4,3,"1,092","5,200"
"73 04 69th Avenue, Middle Village, NY",https://www.estately.com/listings/info/73-04-69th-avenue-middle-village-ny-11379,73_04_69th_Avenue_Middle_Village_NY.jpg,"$599,000",House For Sale,1 photo,Macaluso Realty,2,1,–,"1,710"
"97 34 92nd Street, Ozone Park, NY",https://www.estately.com/listings/info/97-34-92nd-street-ozone-park-ny-11416,97_34_92nd_Street_Ozone_Park_NY.jpg,"$1,100,000",Multifamily For Sale,33 photos,Century 21 Amiable Rlty Grp II,6,2,"2,800","4,000"
"252 02 Leith Road, Little Neck, NY",https://www.estately.com/listings/info/252-02-leith-road-little-neck-ny-11362,252_02_Leith_Road_Little_Neck_NY.jpg,"$1,580,000",Land For Sale,1 photo,Excellent Realty LLC,–,–,–,"6,774"
"26910 Grand Central Unit 30N, Floral Park, NY",https://www.estately.com/listings/info/26910-grand-central-floral-park-ny-11005--1,26910_Grand_Central_Unit30N_Floral_Park_NY.jpg,"$949,000",House For Sale,23 photos,Magic Of Great Neck Realty Inc,2,3,"1,600",
"16 35 Bell Boulevard, Bayside, NY",https://www.estately.com/listings/info/16-35-bell-boulevard-bayside-ny-11360,16_35_Bell_Boulevard_Bayside_NY.jpg,"$1,650,000",Multifamily For Sale,20 photos,Chase Global Realty Corp,7,5,"3,400","3,200"
"169 72 144th Road, Jamaica, NY",https://www.estately.com/listings/info/169-72-144th-road-jamaica-ny-11434,169_72_144th_Road_Jamaica_NY.jpg,"$761,000",House For Sale,5 photos,Winzone Realty Inc,3,2,–,"3,000"
"31 31 138th Street Unit 1C, Flushing, NY",https://www.estately.com/listings/info/31-31-138th-street-flushing-ny-11354--14,31_31_138th_Street_Unit1C_Flushing_NY.jpg,"$310,000",House For Sale,4 photos,E Realty International Corp,1,1,880,
"117 Malba Drive, Malba, NY",https://www.estately.com/listings/info/117-malba-drive-malba-ny-11357--1,117_Malba_Drive_Malba_NY.jpg,"$7,888,888",House For Sale,36 photos,Daniel Gale Sothebys Intl Rlty,5,6,"8,300",
"114 50 121 St Street, Jamaica, NY",https://www.estately.com/listings/info/114-50-121-st-street-jamaica-ny-11420,114_50_121_St_Street_Jamaica_NY.jpg,"$799,999",House For Sale,21 photos,Next Level Homes Group Ltd,3,3,–,"2,500"
"87 11 80th Street, Woodhaven, NY",https://www.estately.com/listings/info/87-11-80th-woodhaven-ny-11421,87_11_80th_Street_Woodhaven_NY.jpg,"$798,888",Multifamily,6 photos,EXP Realty,3,3,–,"1,600"
"67 76 Booth Street Unit 6P, Forest Hills, NY",https://www.estately.com/listings/info/67-76-booth-street-forest-hills-ny-11375--49,67_76_Booth_Street_Unit6P_Forest_Hills_NY.jpg,"$220,000",House,2 photos,Brown Harris Stvns Forest Hill,–,1,–,
