Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"49 Somerville Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/49-somerville-avenue-cumberland-md-21502--1,49_Somerville_Avenue_CUMBERLAND_MD.jpg,"$179,900",House For Sale,45 photos,House For Sale,4,2,"1,928","7,629"
"837 Windsor Road, CUMBERLAND, MD",https://www.estately.com/listings/info/837-windsor-road-cumberland-md-21502,837_Windsor_Road_CUMBERLAND_MD.jpg,"$299,777",House For Sale,49 photos,House For Sale,4,3,"2,866",
"474 Goethe Street, CUMBERLAND, MD",https://www.estately.com/listings/info/474-goethe-street-cumberland-md-21502,474_Goethe_Street_CUMBERLAND_MD.jpg,"$69,000",House For Sale,9 photos,House For Sale,3,2,"1,632","10,890"
"118 Grand Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/118-grand-avenue-cumberland-md-21502,118_Grand_Avenue_CUMBERLAND_MD.jpg,"$54,250",House For Sale,31 photos,House For Sale,3,2,"1,620","3,950"
"1013 Harding Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/1013-harding-avenue-cumberland-md-21502,1013_Harding_Avenue_CUMBERLAND_MD.jpg,"$159,900",House For Sale,29 photos,House For Sale,3,1,"1,430","8,025"
"823 E First Street, CUMBERLAND, MD",https://www.estately.com/listings/info/823-e-first-street-cumberland-md-21502,823_E_First_Street_CUMBERLAND_MD.jpg,"$28,900",House For Sale,18 photos,House For Sale,3,2,944,"5,000"
"714 Lincoln Street, CUMBERLAND, MD",https://www.estately.com/listings/info/714-lincoln-street-cumberland-md-21502,714_Lincoln_Street_CUMBERLAND_MD.jpg,"$179,900",House For Sale,75 photos,House For Sale,3,2,"1,440","3,072"
"Cherrywood Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/cherrywood-avenue-cumberland-md-21502,Cherrywood_Avenue_CUMBERLAND_MD.jpg,"$49,900",Land For Sale,10 photos,Land For Sale,–,–,–,"14,960"
"707 Shriver Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/707-shriver-avenue-cumberland-md-21502,707_Shriver_Avenue_CUMBERLAND_MD.jpg,"$119,500",Townhouse For Sale,19 photos,Townhouse For Sale,3,1,"1,320","1,251"
"316 Columbia Street, CUMBERLAND, MD",https://www.estately.com/listings/info/316-columbia-street-cumberland-md-21502--2,316_Columbia_Street_CUMBERLAND_MD.jpg,"$90,000",House For Sale,24 photos,House For Sale,2,1,"1,340","3,500"
"520 Holland Street, CUMBERLAND, MD",https://www.estately.com/listings/info/520-holland-street-cumberland-md-21502--1,520_Holland_Street_CUMBERLAND_MD.jpg,"$155,500",House For Sale,29 photos,House For Sale,3,2,"1,552","3,050"
"912 Shades Lane, CUMBERLAND, MD",https://www.estately.com/listings/info/912-shades-lane-cumberland-md-21502--1,912_Shades_Lane_CUMBERLAND_MD.jpg,"$129,900",House For Sale,24 photos,House For Sale,2,2,"1,236","13,702"
"684 Fayette Street, CUMBERLAND, MD",https://www.estately.com/listings/info/684-fayette-street-cumberland-md-21502--1,684_Fayette_Street_CUMBERLAND_MD.jpg,"$169,900",House For Sale,50 photos,House For Sale,3,1,"1,400","5,550"
"41 Pennsylvania Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/41-pennsylvania-avenue-cumberland-md-21502,41_Pennsylvania_Avenue_CUMBERLAND_MD.jpg,"$145,500",House For Sale,26 photos,House For Sale,3,2,"1,276","4,120"
"417 Winmer Street, CUMBERLAND, MD",https://www.estately.com/listings/info/417-winmer-street-cumberland-md-21502,417_Winmer_Street_CUMBERLAND_MD.jpg,"$124,900",House For Sale,14 photos,House For Sale,3,2,"1,042","3,705"
