Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"790 Halsey Street, Bedford-Stuyvesant, NY",https://www.estately.com/listings/info/790-halsey-street-bedford-stuyvesant-ny-11233,790_Halsey_Street_BedfordStuyvesant_NY.jpg,"$1,899,000",Multifamily For Sale,19 photos,Compass Greater NY LLC,5,5,"3,135","1,942"
"3320 Avenue H Unit 3E, Midwood, NY",https://www.estately.com/listings/info/3320-avenue-h-midwood-ny-11210,3320_Avenue_H_Unit3E_Midwood_NY.jpg,"$249,000",House For Sale,13 photos,Redfin Real Estate,1,1,–,
"430 Clinton Avenue Unit 5D, Clinton Hill, NY",https://www.estately.com/listings/info/430-clinton-avenue-clinton-hill-ny-11238--2,430_Clinton_Avenue_Unit5D_Clinton_Hill_NY.jpg,"$924,999",Condo For Sale,25 photos,Douglas Elliman Real Estate,1,1,776,"13,500"
"420 64th Street Unit 2E, Sunset Park, NY",https://www.estately.com/listings/info/420-64th-street-sunset-park-ny-11220,420_64th_Street_Unit2E_Sunset_Park_NY.jpg,"$488,888",Condo For Sale,9 photos,RE/MAX Edge,1,1,675,
"1566 Union Street, Clinton Hill, NY",https://www.estately.com/listings/info/1566-union-street-clinton-hill-ny-11238,1566_Union_Street_Clinton_Hill_NY.jpg,"$1,739,500",Multifamily For Sale,7 photos,Cariblend Realty LLC,4,2,–,"1,900"
"326 E 92nd Street, East Flatbush, NY",https://www.estately.com/listings/info/326-e-92nd-street-east-flatbush-ny-11203,326_E_92nd_Street_East_Flatbush_NY.jpg,"$1,079,900",Multifamily For Sale,20 photos,Lanciano Pizante,5,4,–,"1,983"
"7259 Shore Road Unit 5L, Bay Ridge, NY",https://www.estately.com/listings/info/7259-shore-road-bay-ridge-ny-11209--3,7259_Shore_Road_Unit5L_Bay_Ridge_NY.jpg,"$329,999",House For Sale,8 photos,Coldwell Banker Reliable R E,1,1,725,
"63 Ashford Street, East New York, NY",https://www.estately.com/listings/info/63-ashford-street-east-new-york-ny-11207,63_Ashford_Street_East_New_York_NY.jpg,"$1,100,000",House For Sale,28 photos,Gold Star Standard Real Estate,4,3,–,"3,000"
"662 4th Avenue Unit 2F, Other, NY",https://www.estately.com/listings/info/662-4th-avenue-other-ny-11232,662_4th_Avenue_Unit2F_Other_NY.jpg,"$398,000",Condo For Sale,11 photos,Coldwell Banker Realty,1,1,422,"1,651"
"321 93rd Unit 2F, Bay Ridge, NY",https://www.estately.com/listings/info/321-93rd-bay-ridge-ny-11209,321_93rd_Unit2F_Bay_Ridge_NY.jpg,"$585,000",House For Sale,12 photos,RE/MAX Edge,2,1,"1,200",
"576 Ridgewood Avenue, Cypress Hills, NY",https://www.estately.com/listings/info/576-ridgewood-avenue-cypress-hills-ny-11208,576_Ridgewood_Avenue_Cypress_Hills_NY.jpg,"$2,300,000",Multifamily For Sale,10 photos,Keller Williams Rlty Landmark,5,4,"3,449","1,640"
"53 Chestnut Street, Cypress Hills, NY",https://www.estately.com/listings/info/53-chestnut-street-cypress-hills-ny-11208,53_Chestnut_Street_Cypress_Hills_NY.jpg,"$829,000",Multifamily For Sale,27 photos,Affordable Realty Corp,4,3,–,"3,750"
"2922 Brighton 12th Street, Brighton Beach, NY",https://www.estately.com/listings/info/2922-brighton-12th-street-brighton-beach-ny-11235,2922_Brighton_12th_Street_Brighton_Beach_NY.jpg,"$868,000",Multifamily For Sale,15 photos,RE/MAX Edge,5,2,"2,068","2,200"
"2547 E 12th Street Unit 3B, Sheepshead Bay, NY",https://www.estately.com/listings/info/2547-e-12th-street-sheepshead-bay-ny-11235--1,2547_E_12th_Street_Unit3B_Sheepshead_Bay_NY.jpg,"$649,000",Condo For Sale,18 photos,Posh Homes Realty Inc,2,1,940,
"353 Hinsdale Street, East New York, NY",https://www.estately.com/listings/info/353-hinsdale-street-east-new-york-ny-11207,353_Hinsdale_Street_East_New_York_NY.jpg,"$624,999",House For Sale,1 photo,Citadel Circle Realty,3,3,–,"1,800"
"1165 E 54th Street Unit 4K, Flatlands, NY",https://www.estately.com/listings/info/1165-e-54th-street-flatlands-ny-11234--2,1165_E_54th_Street_Unit4K_Flatlands_NY.jpg,"$375,000",House For Sale,9 photos,Buzz Realty,3,2,"1,100",
"116 Frank, Gerritsen Beach, NY",https://www.estately.com/listings/info/116-frank-gerritsen-beach-ny-11229,116_Frank_Gerritsen_Beach_NY.jpg,"$550,000",House For Sale,16 photos,Keller Williams Realty Empire,3,3,–,"1,800"
