Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"118 18 190th Street, Saint Albans, NY",https://www.estately.com/listings/info/118-18-190th-street-saint-albans-ny-11412,118_18_190th_Street_Saint_Albans_NY.jpg,"$680,000",House For Sale,2 photos,Keller Williams Realty Liberty,3,2,–,"2,500"
"3925 Wilder Avenue, BRONX, NY",https://www.estately.com/listings/info/3925-wilder-avenue-bronx-ny-10466,3925_Wilder_Avenue_BRONX_NY.jpg,"$480,000",House For Sale,1 photo,"Unreal Estate Brokerage, LLC",3,2,"1,116","2,026"
"4295 Webster Avenue Unit L-4, BRONX, NY",https://www.estately.com/listings/info/4295-webster-avenue-bronx-ny-10470--45,4295_Webster_Avenue_UnitL4_BRONX_NY.jpg,"$130,000",House For Sale,27 photos,RE/MAX In The City,–,1,425,
"2930 Throop Avenue, BRONX, NY",https://www.estately.com/listings/info/2930-throop-avenue-bronx-ny-10469--2,2930_Throop_Avenue_BRONX_NY.jpg,"$675,000",House For Sale,14 photos,YourHomeSold Guaranteed Realty,3,2,956,"2,500"
"153 11 122nd Avenue, Jamaica, NY",https://www.estately.com/listings/info/153-11-122nd-avenue-jamaica-ny-11434--1,153_11_122nd_Avenue_Jamaica_NY.jpg,"$699,999",Multifamily For Sale,15 photos,Power Move Realty,3,3,–,"4,000"
"111 25 177th Street, Jamaica, NY",https://www.estately.com/listings/info/111-25-177th-street-jamaica-ny-11433,111_25_177th_Street_Jamaica_NY.jpg,"$535,000",House For Sale,2 photos,The C Y D Realty Group LLC,3,1,"3,800","3,800"
"35 05 167th Street Unit 1, Flushing, NY",https://www.estately.com/listings/info/35-05-167th-street-flushing-ny-11358--2,35_05_167th_Street_Unit1_Flushing_NY.jpg,"$389,000",House For Sale,2 photos,Keller Williams Rlty Landmark,1,1,–,
"627 E 32nd Street, Midwood, NY",https://www.estately.com/listings/info/627-e-32nd-street-midwood-ny-11210,627_E_32nd_Street_Midwood_NY.jpg,"$1,969,000",Multifamily For Sale,7 photos,Citadel Circle Realty,7,3,–,"4,100"
"117 21 134th Street, Jamaica, NY",https://www.estately.com/listings/info/117-21-134th-street-jamaica-ny-11420,117_21_134th_Street_Jamaica_NY.jpg,"$1,199,000",Multifamily For Sale,21 photos,Keller Williams Rlty Landmark,6,4,–,"3,133"
"141 05 Pershing Crescent Unit 305, Briarwood, NY",https://www.estately.com/listings/info/141-05-pershing-crescent-briarwood-ny-11435--53,141_05_Pershing_Crescent_Unit305_Briarwood_NY.jpg,"$238,888",House For Sale,26 photos,INLUXXE Realty LLC,1,1,–,
