Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Sold Date
"7804 Radnor Road, BETHESDA, MD",https://www.estately.com/listings/info/7804-radnor-road-bethesda-md-20817,7804_Radnor_Road_BETHESDA_MD.jpg,"$2,200,000",Sold House,41 photos,Sold House,6,5,"3,995","9,486",06/04/2024
"7601 Marbury Road, BETHESDA, MD",https://www.estately.com/listings/info/7601-marbury-road-bethesda-md-20817,7601_Marbury_Road_BETHESDA_MD.jpg,"$2,900,000",Sold House,37 photos,Sold House,6,7,"7,161","14,101",06/03/2024
"6703 Fairfax Road Unit 75, CHEVY CHASE, MD",https://www.estately.com/listings/info/6703-fairfax-road-chevy-chase-md-20815,6703_Fairfax_Road_Unit75_CHEVY_CHASE_MD.jpg,"$1,060,000",Sold Condo,33 photos,Sold Condo,3,4,"2,724",,05/31/2024
"5315 Edgemoor Lane, BETHESDA, MD",https://www.estately.com/listings/info/5315-edgemoor-lane-bethesda-md-20814,5315_Edgemoor_Lane_BETHESDA_MD.jpg,"$3,100,000",Sold House,52 photos,Sold House,5,5,"3,356","13,834",05/31/2024
"7120 Fairfax Road, BETHESDA, MD",https://www.estately.com/listings/info/7120-fairfax-road-bethesda-md-20814--1,7120_Fairfax_Road_BETHESDA_MD.jpg,"$6,500,000",Sold House,3 photos,Sold House,7,8,"7,358",,05/28/2024
"5718 Wilson Lane, BETHESDA, MD",https://www.estately.com/listings/info/5718-wilson-lane-bethesda-md-20817,5718_Wilson_Lane_BETHESDA_MD.jpg,"$1,125,000",Sold House,47 photos,Sold House,5,3,"2,406","7,565",05/17/2024
"6005 Durbin Road, BETHESDA, MD",https://www.estately.com/listings/info/6005-durbin-road-bethesda-md-20817,6005_Durbin_Road_BETHESDA_MD.jpg,"$2,835,000",Sold House,72 photos,Sold House,6,6,"6,156","9,930",05/17/2024
"7010 Exeter Road, BETHESDA, MD",https://www.estately.com/listings/info/7010-exeter-road-bethesda-md-20814,7010_Exeter_Road_BETHESDA_MD.jpg,"$1,835,000",Sold House,10 photos,Sold House,3,3,"2,220","5,657",05/17/2024
"5930 Kirby Road, BETHESDA, MD",https://www.estately.com/listings/info/5930-kirby-road-bethesda-md-20817--1,5930_Kirby_Road_BETHESDA_MD.jpg,"$2,575,000",Sold House,31 photos,Sold House,5,6,"6,777","12,000",05/03/2024
"7705 Whittier Boulevard, BETHESDA, MD",https://www.estately.com/listings/info/7705-whittier-boulevard-bethesda-md-20817--2,7705_Whittier_Boulevard_BETHESDA_MD.jpg,"$2,600,000",Sold House,40 photos,Sold House,6,7,"5,788","7,150",04/30/2024
"7010 Exfair Road, BETHESDA, MD",https://www.estately.com/listings/info/7010-exfair-road-bethesda-md-20814,7010_Exfair_Road_BETHESDA_MD.jpg,"$3,492,000",Sold House,57 photos,Sold House,6,6,"2,816","5,500",04/26/2024
"7804 Custer Road, BETHESDA, MD",https://www.estately.com/listings/info/7804-custer-road-bethesda-md-20814,7804_Custer_Road_BETHESDA_MD.jpg,"$1,070,000",Sold House,1 photo,Sold House,3,2,"2,164","6,300",04/19/2024
"5404 Audubon Road, BETHESDA, MD",https://www.estately.com/listings/info/5404-audubon-road-bethesda-md-20814,5404_Audubon_Road_BETHESDA_MD.jpg,"$1,825,000",Sold House,1 photo,Sold House,3,2,"1,975","12,684",04/15/2024
"7428 Hampden Lane, BETHESDA, MD",https://www.estately.com/listings/info/7428-hampden-lane-bethesda-md-20814,7428_Hampden_Lane_BETHESDA_MD.jpg,"$5,875,000",Sold House,1 photo,Sold House,7,9,"6,696","15,016",04/08/2024
"5206 Elm Street, BETHESDA, MD",https://www.estately.com/listings/info/5206-elm-street-bethesda-md-20814,5206_Elm_Street_BETHESDA_MD.jpg,"$2,950,000",Sold House,1 photo,Sold House,7,7,"4,915","7,475",04/01/2024
"7713 Radnor Road, BETHESDA, MD",https://www.estately.com/listings/info/7713-radnor-road-bethesda-md-20817,7713_Radnor_Road_BETHESDA_MD.jpg,"$2,050,000",Sold House,27 photos,Sold House,6,6,"4,424","7,280",03/21/2024
"6113 Durbin Road, BETHESDA, MD",https://www.estately.com/listings/info/6113-durbin-road-bethesda-md-20817,6113_Durbin_Road_BETHESDA_MD.jpg,"$2,800,000",Sold House,3 photos,Sold House,7,8,"7,410","11,993",03/21/2024
"6236 Clearwood Road, BETHESDA, MD",https://www.estately.com/listings/info/6236-clearwood-road-bethesda-md-20817--1,6236_Clearwood_Road_BETHESDA_MD.jpg,"$2,510,280",Sold House,67 photos,Sold House,5,5,"7,932","14,080",03/20/2024
"6205 Stardust Lane, BETHESDA, MD",https://www.estately.com/listings/info/6205-stardust-lane-bethesda-md-20817--1,6205_Stardust_Lane_BETHESDA_MD.jpg,"$1,520,000",Sold House,32 photos,Sold House,4,3,"3,200","8,384",03/15/2024
"7209 Honeywell Lane, BETHESDA, MD",https://www.estately.com/listings/info/7209-honeywell-lane-bethesda-md-20814,7209_Honeywell_Lane_BETHESDA_MD.jpg,"$1,800,000",Sold House,53 photos,Sold House,4,5,"5,560","10,112",03/14/2024
"5613 Bradley Boulevard, BETHESDA, MD",https://www.estately.com/listings/info/5613-bradley-boulevard-bethesda-md-20814--1,5613_Bradley_Boulevard_BETHESDA_MD.jpg,"$1,265,000",Sold House,43 photos,Sold House,4,3,"2,106","9,898",03/13/2024
"6211 Verne Street, BETHESDA, MD",https://www.estately.com/listings/info/6211-verne-street-bethesda-md-20817,6211_Verne_Street_BETHESDA_MD.jpg,"$1,466,000",Sold House,56 photos,Sold House,4,3,"3,400","7,283",03/12/2024
"5609 Wilson Lane, BETHESDA, MD",https://www.estately.com/listings/info/5609-wilson-lane-bethesda-md-20814,5609_Wilson_Lane_BETHESDA_MD.jpg,"$3,550,000",Sold House,58 photos,Sold House,7,8,"10,033",,03/11/2024
